Species C_T A_G T_C G_T A_C G_A A_T G_C C_A C_G T_A T_G BranchLength C_T_rate A_G_rate T_C_rate G_T_rate A_C_rate G_A_rate A_T_rate G_C_rate C_A_rate C_G_rate T_A_rate T_G_rate C_T_rate.res A_G_rate.res T_C_rate.res G_T_rate.res A_C_rate.res G_A_rate.res A_T_rate.res G_C_rate.res C_A_rate.res C_G_rate.res T_A_rate.res T_G_rate.res
AUS121_Heterotermes_cf_paradoxus_1 20 34 29 6 4 24 6 1 7 3 3 2 0.0826153438 242.085780680368 411.545827156626 351.024381986534 72.6257342041104 48.4171561360736 290.502936816442 72.6257342041104 12.1042890340184 84.7300232381288 36.3128671020552 36.3128671020552 24.2085780680368 -164.137162334304 -263.139329781443 -161.088429590174 -18.6786834822575 -248.017617282584 77.0892505779824 -318.49767368863 -11.9567645385141 -67.1191959586551 9.29039275675099 -180.297944349847 -126.449753398098
AUS19_Ephelotermes_taylori_1 41 41 41 4 18 20 21 4 14 3 15 5 0.0232415131 1764.08480048573 1764.08480048573 1764.08480048573 172.10583419373 774.476253871784 860.529170968649 903.555629517082 172.10583419373 602.370419678054 129.079375645297 645.396878226487 215.132292742162 1245.35694012822 903.196555480268 1109.508072489 55.4845967317584 392.722021165983 588.776298188454 401.328925849778 141.454466847864 407.589826486412 94.0479428510286 369.487054576281 21.3547779043274
AUS30_Microcerotermes_sp._1 6 13 5 0 1 3 6 1 0 0 1 3 0.0656152556 91.4421493162636 198.124656851904 76.2017910968863 0 15.2403582193773 45.7210746581318 91.4421493162636 15.2403582193773 0 0 15.2403582193773 45.7210746581318 -346.993529430852 -529.874710790411 -476.701704117787 -98.5532032886209 -305.623331372576 -184.396457450353 -331.492677937671 -10.7076531945386 -164.141455285566 -29.3156226636344 -218.349119181125 -117.283267024771
AUS46_Lophotermes_septentrionalis_1 40 45 39 6 13 25 13 1 17 3 13 8 0.1702638119 234.929545824411 264.295739052463 229.056307178801 35.2394318736617 76.3521023929337 146.830966140257 76.3521023929337 5.87323864561028 99.8450569753748 17.6197159368308 76.3521023929337 46.9859091648823 -5.21208590278269 -135.513850111327 -72.7493053082338 -18.6919471467768 -94.1329080161019 19.538392019686 -150.759087310529 -8.45910280373815 11.3717244228309 2.42017655887184 -52.720689063493 -40.0192888635871
AUS47_Heterotermes_vagus_Australia_1 21 82 57 5 12 12 14 2 4 1 6 9 0.1418807645 148.011607309883 577.95008568621 401.745791269683 35.2408588833055 84.5780613199332 84.5780613199332 98.6744048732554 14.0963435533222 28.1926871066444 7.0481717766611 42.2890306599666 63.4335459899499 -145.91183980681 89.1280307216714 31.8367728735673 -30.7929647198137 -126.69303663877 -70.6029592318282 -181.548569484951 -3.38642942459835 -80.8035460011973 -11.979967585526 -115.131041983383 -44.1843329293996
AUS49_Tumulitermes_sp._1 39 41 59 7 15 21 21 3 14 2 19 6 0.0697737522 558.949444028897 587.613518081661 845.590184556536 100.324259184674 214.980555395729 300.972777554021 300.972777554021 42.9961110791459 200.648518369347 28.6640740527639 272.308703501257 85.9922221582918 128.393521577403 -127.344331108692 302.664750468637 3.54422612472859 -99.9074260908781 74.9412763790361 -114.18046188117 17.509680080309 39.5139428940632 -0.0906074338081577 42.8724824714947 -73.9920856926695
AUS4_Amitermes_meridionalis_1 26 35 27 5 13 27 11 3 12 4 11 10 0.0319648157 813.394334696571 1094.95391209154 844.6787321849 156.421987441648 406.697167348285 844.6787321849 344.128372371626 93.8531924649889 375.412769859956 125.137589953319 344.128372371626 312.843974883296 311.195885131645 261.422936494439 211.033041277426 43.5203395222163 37.4782124282604 581.497150352948 -141.774849090262 64.1700850510825 186.939726004034 91.2828467416067 76.9308588619025 125.401602649225
AUS50_Heterotermes_validus_1 28 29 32 6 3 25 7 0 8 1 2 2 0.1675016631 167.162519355308 173.132609332283 191.042879263209 35.8205398618517 17.9102699309258 149.252249424382 41.790629838827 0 47.7607198158022 5.97008997697528 11.9401799539506 11.9401799539506 -78.2129892965999 -235.33939271944 -117.390342241865 -19.2886109570131 -156.543914090595 19.2456595126886 -190.489231508046 -14.6389315255827 -42.7098367959643 -9.60203669589535 -119.891279647241 -77.0709792732986
AUS57_Tumulitermes_recalvus_1 28 46 24 6 11 19 20 1 8 1 7 5 0.023784927 1177.21614197092 1933.99794752366 1009.04240740365 252.260601850912 462.477770060005 798.825239194554 840.868672836372 42.0434336418186 336.347469134549 42.0434336418186 294.30403549273 210.217168209093 659.517973233131 1074.81391033309 355.769568199647 135.871074413503 81.5044163975558 527.60631082232 339.658832567436 11.4523835782906 141.959801666241 7.08530215377175 18.9369409725956 16.8342980038277
AUS5_Tumulitermes_sp._1 29 39 35 5 10 6 20 0 8 2 6 3 0.0206754783 1402.62776895468 1886.29251687009 1692.82661770393 241.832373957704 483.664747915409 290.198848749245 967.329495830817 0 386.931798332327 96.7329495830817 290.198848749245 145.099424374623 879.037639653611 1017.35689479269 1032.09284437312 124.116987106959 98.2231549859739 15.9246567092876 460.301098892403 -30.9361893673843 190.295785027416 61.355383385435 11.7262238259442 -50.5416273745897
