Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
G13-114_Compositermes_vindai_1	27	34	23	6	13	12	31	0	13	0	25	6	0.070278757	384.184370250032	483.78772550004	327.268167250027	85.374304500007	184.977659750015	170.748609000014	441.100573250036	0	184.977659750015	0	355.726268750029	85.374304500007
G13-116_Anoplotermes_sp.E1_1	25	34	37	6	9	13	9	2	7	0	5	5	0.0385676714	648.211289209439	881.567353324837	959.352708029969	155.570709410265	233.356064115398	337.069870388908	233.356064115398	51.8569031367551	181.499160978643	0	129.642257841888	129.642257841888
G13-117_Nasutitermes_banksi_1	51	63	51	4	20	19	24	0	8	1	9	7	0.0640632914	796.087726457339	983.402485623772	796.087726457339	62.4382530554776	312.191265277388	296.581702013518	374.629518332865	0	124.876506110955	15.6095632638694	140.486069374825	109.266942847086
G13-127_Nasutitermes_similis_1	31	63	29	5	12	13	16	0	7	3	8	6	0.0490072324	632.559695413447	1285.52454229184	591.749392483547	102.025757324749	244.861817579399	265.266969044349	326.482423439198	0	142.836060254649	61.2154543948497	163.241211719599	122.430908789699
G13-130_Coatitermes_sp.2_1	30	40	29	8	8	14	16	4	18	0	9	8	0.0505396801	593.592993478406	791.457324637874	573.806560362459	158.291464927575	158.291464927575	277.010063623256	316.58292985515	79.1457324637874	356.155796087043	0	178.077898043522	158.291464927575
G13-140_Spinitermes_trispinosus_1	19	50	43	8	7	11	10	1	2	1	7	1	0.0332381054	571.633063056596	1504.29753435946	1293.69587954914	240.687605497514	210.601654810325	330.945457559082	300.859506871893	30.0859506871893	60.1719013743786	30.0859506871893	210.601654810325	30.0859506871893
G13-142_Anoplotermes_sp.E1_1	28	52	44	4	18	11	25	4	13	1	15	6	0.0744593469	376.044125630116	698.367661884501	590.92648313304	53.7205893757309	241.742652190789	147.73162078326	335.753683598318	53.7205893757309	174.591915471125	13.4301473439327	201.452210158991	80.5808840635963
G678_Rugitermes_sp_A_1	25	32	44	8	35	19	75	2	10	1	35	9	0.1258716253	198.615056732727	254.22727261789	349.562499849599	63.5568181544725	278.061079425817	150.947443116872	595.84517019818	15.8892045386181	79.4460226930906	7.94460226930906	278.061079425817	71.5014204237816
G679_Caetetermes_taquarussu_1	60	49	41	13	51	31	67	3	23	4	33	26	0.1442253248	416.015703782974	339.746158089429	284.277397585032	90.1367358196443	353.613348215528	214.941446954537	464.550869224321	20.8007851891487	159.47268645014	27.7343802521983	228.808637080636	180.273471639289
G680_Anoplotermes_sp.E1_1	19	50	32	6	9	12	6	3	8	2	2	12	0.0388227748	489.403451914004	1287.90382082633	824.258445328849	154.548458499159	231.822687748739	309.096916998318	154.548458499159	77.2742292495795	206.064611332212	51.516152833053	51.516152833053	309.096916998318
G681_Neocapritermes_araguaia_1	18	38	26	1	5	11	14	1	3	1	8	5	0.0448748004	401.115990256304	846.80042387442	579.389763703551	22.2842216809058	111.421108404529	245.126438489964	311.979103532681	22.2842216809058	66.8526650427174	22.2842216809058	178.273773447246	111.421108404529
G683_Neocapritermes_sp.H_1	37	66	41	7	31	14	41	2	10	3	19	12	0.0797213575	464.116532385942	827.883544256004	514.291292643882	87.8058304513944	388.854391999032	175.611660902789	514.291292643882	25.0873801289698	125.436900644849	37.6310701934547	238.330111225213	150.524280773819
G686_Cyrilliotermes_angulariceps_1	37	52	40	6	24	21	28	5	18	6	15	20	0.0858738181	430.864736407941	605.539629546296	465.799715035612	69.8699572553418	279.479829021367	244.544850393696	326.059800524929	58.2249643794515	209.609871766026	69.8699572553418	174.674893138355	232.899857517806
G687_Cylindrotermes_parvignathus_1	32	40	36	14	30	13	37	3	29	4	18	9	0.0815148972	392.566280510503	490.707850638128	441.637065574316	171.747747723345	368.030887978596	159.480051457392	453.904761840269	36.8030887978596	355.763191712643	49.0707850638128	220.818532787158	110.409266393579
G689_Microcerotermes_sp._1	26	33	28	3	4	22	13	0	5	2	4	6	0.0384344286	676.476819015335	858.605193365617	728.51349740113	78.0550175786925	104.07335677159	572.403462243745	338.238409507667	0	130.091695964487	52.036678385795	104.07335677159	156.110035157385
G693_Cornitermes_pugnax_1	42	47	29	1	13	19	34	1	8	1	14	15	0.0559263835	750.987233065052	840.390475096606	518.538803783012	17.8806484063108	232.44842928204	339.732319719905	607.942045814566	17.8806484063108	143.045187250486	17.8806484063108	250.329077688351	268.209726094662
G697_Orthognathotermes_aduncus_1	35	80	52	8	37	17	48	6	16	5	34	33	0.107135672	326.68857483808	746.71674248704	485.365882616576	74.671674248704	345.356493400256	158.677307778496	448.030045492224	56.003755686528	149.343348497408	46.66979640544	317.354615556992	308.020656275904
G699_Inquilinitermes_inquilinus_1	48	61	45	17	32	20	40	2	29	6	24	7	0.1006682608	476.813641345833	605.95066921033	447.012788761719	168.871497976649	317.875760897222	198.672350560764	397.344701121528	19.8672350560764	288.074908313108	59.6017051682291	238.406820672917	69.5353226962673
G700_Constrictotermes_cavifrons_1	40	74	54	9	33	16	39	1	8	5	18	11	0.0874631374	457.335526589514	846.070724190601	617.402960895844	102.900493482641	377.301809436349	182.934210635806	445.902138424776	11.4333881647378	91.4671053179028	57.1669408236892	205.800986965281	125.767269812116
G702_Glossotermes_oculatus_1	23	144	113	7	93	20	47	5	15	12	21	43	0.2552914198	90.0931179669831	564.061260315025	442.631405663873	27.419644598647	364.289563953453	78.3418417104201	184.103328019487	19.585460427605	58.7563812828151	47.005105026252	82.2589337959411	168.434959677403
G707_Neocapritermes_angusticeps_1	20	37	29	4	9	7	15	2	5	0	9	6	0.0419344884	476.934398465202	882.328637160624	691.554877774543	95.3868796930405	214.620479309341	166.927039462821	357.700798848902	47.6934398465202	119.233599616301	0	214.620479309341	143.080319539561
