Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
MAL27_Hospitalitermes_medioflavus_1	22	50	28	2	18	12	10	1	2	3	4	3	0.0333003819	660.653083981598	1501.48428177636	840.831197794762	60.0593712710544	540.53434143949	360.356227626326	300.296856355272	30.0296856355272	60.0593712710544	90.0890569065816	120.118742542109	90.0890569065816
MAL29_Parrhinotermes_sp2_Malaysia_1	25	41	28	1	5	12	4	1	9	2	7	4	0.0407126162	614.060267637627	1007.05883892571	687.747499754142	24.5624107055051	122.812053527525	294.748928466061	98.2496428220204	24.5624107055051	221.061696349546	49.1248214110102	171.936874938536	98.2496428220204
MAL36_Cryptotermes_sp1_Malaysia_1	42	52	57	16	36	21	48	4	21	1	18	15	0.1221370222	343.876076585728	425.751332915664	466.688961080631	131.000410127897	294.750922787767	171.938038292864	393.00123038369	32.7501025319741	171.938038292864	8.18752563299353	147.375461393884	122.812884494903
MAL39_Cryptotermes_domesticus_Malaysia_1	16	12	18	3	1	9	2	0	0	1	1	2	0.0106798433	1498.14932209726	1123.61199157295	1685.41798735942	280.902997893237	93.634332631079	842.708993679711	187.268665262158	0	0	93.634332631079	93.634332631079	187.268665262158
MAL41_Odontotermes_sp.K_1	7	9	8	2	1	6	3	0	5	1	0	0	0.0081099188	863.140577930324	1109.7521716247	986.446374777513	246.611593694378	123.305796847189	739.834781083135	369.917390541567	0	616.528984235946	123.305796847189	0	0
Mantoida_MN110_1	5	47	54	10	47	5	124	1	3	3	87	17	0.3726222888	13.4184136330172	126.133088150362	144.918867236586	26.8368272660344	126.133088150362	13.4184136330172	332.776658098827	2.68368272660344	8.05104817981033	8.05104817981033	233.4803972145	45.6226063522586
Megacrania_alpheus_1	5	35	26	12	20	15	111	8	1	9	88	22	0.8546531638	5.85032643858564	40.9522850700994	30.4216974806453	14.0407834526055	23.4013057543425	17.5509793157569	129.877246936601	9.36052230173702	1.17006528771713	10.5305875894541	102.965745319107	25.7414363297768
MLA11_Coptotermes_sepangensis_1	11	12	10	2	1	5	1	0	1	1	1	2	0.0127977907	859.523355074091	937.661841899008	781.384868249174	156.276973649835	78.1384868249174	390.692434124587	78.1384868249174	0	78.1384868249174	78.1384868249174	78.1384868249174	156.276973649835
Nasutitermes_nr.perparvus_Thailand_1	41	33	27	8	13	15	21	1	20	1	19	8	0.0656152556	624.854686994468	502.93182123945	411.489671923186	121.922865755018	198.124656851904	228.605373290659	320.047522606922	15.2403582193773	304.807164387545	15.2403582193773	289.566806168168	121.922865755018
Nasutitermes_takasagoensis_Japan_1	1	3	0	0	1	5	0	0	0	0	1	0	0.0024313002	411.302561485414	1233.90768445624	0	0	411.302561485414	2056.51280742707	0	0	0	0	411.302561485414	0
Nasutitermes_tridoinae_1	26	44	24	5	6	23	7	1	10	1	1	5	0.0374593719	694.085316470563	1174.60592018095	640.694138280519	133.477945475108	160.17353457013	613.998549185498	186.869123665151	26.6955890950216	266.955890950216	26.6955890950216	26.6955890950216	133.477945475108
NEW4_Microcerotermes_baluchistanicus_1	37	57	31	5	10	17	18	1	16	0	10	5	0.0590592642	626.489349320407	965.132240844951	524.896481863044	84.6607228811361	169.321445762272	287.846457795863	304.77860237209	16.9321445762272	270.914313219635	0	169.321445762272	84.6607228811361
NG21_Glyptotermes_spA_NewGuinea_1	38	103	64	13	73	18	75	3	16	6	40	42	0.1696021189	224.053804554207	607.30373339693	377.353776091296	76.6499857685446	430.419150854135	106.130749525677	442.211456356988	17.6884582542795	94.3384440228241	35.376916508559	235.84611005706	247.638415559913
NG52_Parrhinotermes_browni_1	43	55	46	1	33	26	31	4	13	2	17	12	0.1163820581	369.472758103768	472.58143478389	395.249927273799	8.59238972334345	283.548860870334	223.40213280693	266.364081423647	34.3695588933738	111.701066403465	17.1847794466869	146.070625296839	103.108676680121
NG55_Pericapritermes_spB_NewGuinea_1	33	44	39	9	20	19	44	3	12	2	31	14	0.0880313525	374.866443180002	499.821924240003	443.023978303639	102.236302685455	227.191783745456	215.832194558183	499.821924240003	34.0787675618184	136.315070247274	22.7191783745456	352.147264805457	159.034248621819
NG69_Nasutitermes_bikpelanus_1	52	65	47	10	20	26	33	4	14	4	10	9	0.0791102535	657.310496420037	821.638120525047	594.107564071957	126.405864696161	252.811729392322	328.655248210019	417.139353497331	50.5623458784644	176.968210574625	50.5623458784644	126.405864696161	113.765278226545
NG71_Microcerotermes_biroi_1	34	27	24	9	11	25	26	2	16	2	16	6	0.0659741019	515.353737615639	409.251497518301	363.779108905157	136.417165839434	166.73209158153	378.936571776205	394.094034647253	30.3149257420964	242.519405936771	30.3149257420964	242.519405936771	90.9447772262892
NG77_Termitogeton_planus_1	21	90	55	23	76	24	47	4	27	12	18	38	0.2073779816	101.264366824178	433.990143532191	265.216198825228	110.908592236004	366.480565649405	115.730704941918	226.639297177922	19.2884508236529	130.197043059657	57.8653524709588	86.7980287064381	183.240282824703
NG78_Coptotermes_remotus_1	11	17	13	2	1	5	5	0	1	0	2	1	0.0150655539	730.142421116027	1128.40192354295	862.895588591668	132.753167475641	66.3765837378206	331.882918689103	331.882918689103	0	66.3765837378206	0	132.753167475641	66.3765837378206
NG79_Coptotermes_elisae_New_Guinea_1	31	48	33	7	7	14	12	1	15	3	8	3	0.0438856156	706.381796772608	1093.75245951888	751.954815919228	159.50556701317	159.50556701317	319.011134026339	273.438114879719	22.7865095733099	341.797643599649	68.3595287199298	182.29207658648	68.3595287199298
NG91_Prorhinotermes_inopinatus_New_Guinea_1	35	62	54	5	24	33	8	3	10	4	6	9	0.0585572292	597.705876424904	1058.79326680983	922.174780769852	85.3865537749863	409.855458119934	563.55125491491	136.618486039978	51.2319322649918	170.773107549973	68.3092430199891	102.463864529984	153.695796794975
NSW2_Coptotermes_acinaciformis_acinaciformis_1	1	3	1	0	0	3	0	0	0	0	0	0	0.0020833474	479.996759061883	1439.99027718565	479.996759061883	0	0	1439.99027718565	0	0	0	0	0	0
NSW3_Amitermes_obeuntis_1	2	5	4	0	0	3	1	1	0	0	2	0	0.0046538102	429.755386242439	1074.3884656061	859.510772484877	0	0	644.633079363658	214.877693121219	214.877693121219	0	0	429.755386242439	0
NSW6_Occasitermes_occasus_1	31	43	50	1	6	14	16	3	9	1	6	5	0.0486052758	637.79084656485	884.677625880275	1028.69491381427	20.5738982762855	123.443389657713	288.034575867997	329.182372420568	61.7216948288564	185.165084486569	20.5738982762855	123.443389657713	102.869491381427
Odontotermes_formosanus_Japan_1	25	39	15	3	4	20	13	0	10	3	3	1	0.0341396125	732.287163482011	1142.36797503194	439.372298089206	87.8744596178413	117.165946157122	585.829730785609	380.789325010646	0	292.914865392804	87.8744596178413	87.8744596178413	29.2914865392804
Periplaneta_fuliginosa_1	9	26	14	4	16	2	120	0	7	2	70	11	0.2490173239	36.1420637690822	104.410406444015	56.220988085239	16.0631394529254	64.2525578117017	8.03156972646271	481.894183587763	0	28.1104940426195	8.03156972646271	281.104940426195	44.1736334955449
PHI1_Microcerotermes_crassus_1	8	10	12	0	0	2	1	0	0	0	0	2	0.0071122287	1124.82322172795	1406.02902715994	1687.23483259193	0	0	281.205805431988	140.602902715994	0	0	0	0	281.205805431988
PHI2_Nasutitermes_matangensis_1	3	3	5	2	0	3	0	0	0	1	0	0	0.0021206458	1414.66340112055	1414.66340112055	2357.77233520091	943.108934080364	0	1414.66340112055	0	0	0	471.554467040182	0	0
PHI3_Hospitalitermes_sp._1	16	30	25	4	14	22	6	1	9	1	5	3	0.030928919	517.315202642549	969.96600495478	808.305004128984	129.328800660637	452.650802312231	711.308403633506	193.993200990956	32.3322001651593	290.989801486434	32.3322001651593	161.661000825797	96.996600495478
PHI4_Macrotermes_sp_Philippines_1	6	5	11	2	1	6	1	0	0	1	2	1	0.0101495287	591.16045457362	492.633712144683	1083.7941667183	197.053484857873	98.5267424289366	591.16045457362	98.5267424289366	0	0	98.5267424289366	197.053484857873	98.5267424289366
PHI5_Nasutitermes_matangensis_1	3	13	17	2	5	7	2	0	1	0	3	0	0.0091628541	327.408901992666	1418.77190863489	1855.31711129178	218.272601328444	545.68150332111	763.954104649555	218.272601328444	0	109.136300664222	0	327.408901992666	0
Prorhinotermes_canalifrons_1	35	68	49	10	19	31	15	4	10	2	3	13	0.0594856097	588.377595464067	1143.13361404447	823.728633649694	168.107884418305	319.404980394779	521.134441696745	252.161826627457	67.243153767322	168.107884418305	33.621576883661	50.4323653254915	218.540249743796
Prorhinotermes_simplex_Cuba_1	35	64	43	9	22	11	22	2	12	1	14	13	0.0696154532	502.761935621501	919.336110850744	617.678949477844	129.281640588386	316.021788104943	158.010894052472	316.021788104943	28.7292534640858	172.375520784515	14.3646267320429	201.1047742486	186.740147516557
RDCT003_Schedorhinotermes_putiorus_Congo_1	32	25	26	3	10	14	17	2	16	1	8	5	0.0519390797	616.106411296309	481.333133825242	500.586459178251	57.759976059029	192.533253530097	269.546554942135	327.306531001164	38.5066507060193	308.053205648155	19.2533253530097	154.026602824077	96.2666267650484
RDCT008_Trichotermes_ducis_1	16	25	26	1	12	8	13	2	2	1	12	8	0.0411770811	388.565667419297	607.133855342651	631.419209556357	24.285354213706	291.424250564472	194.282833709648	315.709604778178	48.5707084274121	48.5707084274121	24.285354213706	291.424250564472	194.282833709648
RDCT011_Macrotermes_muelleri_Congo_1	20	72	40	13	11	10	12	0	7	0	13	11	0.0492575906	406.028791834573	1461.70365060446	812.057583669145	263.918714692472	223.315835509015	203.014395917286	243.617275100744	0	142.1100771421	0	263.918714692472	223.315835509015
RDCT012_Furculitermes_longilabius_1	19	27	29	4	6	17	8	2	7	0	3	2	0.0259155139	733.151581454844	1041.84698417267	1119.02083485213	154.347701358915	231.521552038372	655.977730775387	308.695402717829	77.1738506794573	270.108477378101	0	115.760776019186	77.1738506794573
RDCT014_Pericapritermes_sp.A_1	15	48	30	4	10	10	19	1	7	2	8	10	0.0458154364	327.400570171149	1047.68182454768	654.801140342297	87.3068187123063	218.267046780766	218.267046780766	414.707388883455	21.8267046780766	152.786932746536	43.6534093561532	174.613637424613	218.267046780766
RDCT016_Protermes_prorepens_1	33	56	48	6	36	16	22	2	19	1	19	11	0.0818787162	403.035141872437	683.938422571408	586.232933632636	73.2791167040794	439.674700224477	195.410977877545	268.690094581625	24.4263722346931	232.050536229585	12.2131861173466	232.050536229585	134.345047290812
RDCT033_Microcerotermes_fuscotibialis_1	22	53	45	4	6	8	5	0	5	0	4	2	0.0385416095	570.811657463345	1375.13717479806	1167.56929935684	103.783937720608	155.675906580912	207.567875441216	129.72992215076	0	129.72992215076	0	103.783937720608	51.8919688603041
RDCT040_Acidnotermes_praus_1	14	51	33	5	5	9	7	1	4	1	5	10	0.0355151771	394.19766824139	1436.00579145078	929.180217997561	140.784881514782	140.784881514782	253.412786726608	197.098834120695	28.1569763029564	112.627905211826	28.1569763029564	140.784881514782	281.569763029564
RDCT047_Furculitermes_cubitalis_1	27	56	29	5	6	19	13	4	10	4	5	4	0.0400667923	673.874758873572	1397.66616655259	723.791407679022	124.791622013624	149.749946416349	474.208163651773	324.458217235424	99.8332976108996	249.583244027249	99.8332976108996	124.791622013624	99.8332976108996
RDCT048_Microtermes_sp._1	1	0	0	0	0	1	0	0	0	0	0	0	0.0003548891	2817.78166756883	0	0	0	0	2817.78166756883	0	0	0	0	0	0
RDCT051_Orthotermes_depressifrons_1	28	43	32	3	13	11	7	2	8	2	16	3	0.0426064206	657.177946555783	1009.23756078209	751.060510349466	70.4119228452624	305.118332329471	258.177050432629	164.294486638946	46.9412818968416	187.765127587366	46.9412818968416	375.530255174733	70.4119228452624
RDCT052_Astalotermes_sp.B_1	33	60	53	6	36	16	45	1	7	3	25	25	0.0909736916	362.742232612664	659.531332023026	582.586009953673	65.9531332023026	395.718799213816	175.875021872807	494.64849901727	10.9921888670504	76.9453220693531	32.9765666011513	274.804721676261	274.804721676261
RDCT067_Coptotermes_sjosdteti_Congo_1	0	3	0	0	0	1	0	0	0	0	0	0	0.0008728087	0	3437.17930401015	0	0	0	1145.72643467005	0	0	0	0	0	0
RDCT077_Furculitermes_winifredae_1	26	53	39	4	7	16	7	0	8	2	4	2	0.0309617815	839.744961057877	1711.78780523336	1259.61744158682	129.191532470443	226.085181823275	516.766129881771	226.085181823275	0	258.383064940885	64.5957662352213	129.191532470443	64.5957662352213
RDCT089_Microtermes_sp._1	0	1	0	0	0	1	0	0	1	0	0	0	0.0007059911	0	1416.44845097906	0	0	0	1416.44845097906	0	0	1416.44845097906	0	0	0
RDCT100_Noditermes_cristifrons_1	9	59	46	5	8	8	16	2	11	1	14	13	0.0591954056	152.038826472709	996.698973543312	777.087335304955	84.4660147070603	135.145623531296	135.145623531296	270.291247062593	33.7864058828241	185.825232355533	16.8932029414121	236.504841179769	219.611638238357
RDCT105_Ophiotermes_mirandus_1	5	15	16	0	1	10	2	2	1	1	1	2	0.0096251651	519.471608855832	1558.41482656749	1662.30914833866	0	103.894321771166	1038.94321771166	207.788643542333	207.788643542333	103.894321771166	103.894321771166	103.894321771166	207.788643542333
RDCT106_Nasutitermes_lujae_1	49	73	43	9	21	23	31	3	16	5	15	15	0.0783921526	625.062565254778	931.215658440791	548.524291958274	114.807409944755	267.883956537762	293.396714303263	395.447745365268	38.2691366482517	204.102062124009	63.7818944137528	191.345683241259	191.345683241259
RDCT108_Procubitermes_undulans_1	38	44	39	10	21	12	33	1	10	3	21	5	0.0730889691	519.914297163072	602.006028294084	533.596252351574	136.819551885019	287.32105895854	164.183462262023	451.504521220563	13.6819551885019	136.819551885019	41.0458655655057	287.32105895854	68.4097759425095
RDCT112_Schedorhinotermes_lamanianus_Congo_1	35	39	23	1	6	7	8	0	7	1	6	6	0.0373979866	935.879259339592	1042.8368889784	615.006370423161	26.7394074097026	160.436444458216	187.175851867918	213.915259277621	0	187.175851867918	26.7394074097026	160.436444458216	160.436444458216
RDCT114_Postsubulitermes_parviconstrictus_1	2	6	6	2	1	0	1	0	0	0	0	0	0.0031759577	629.731309078833	1889.1939272365	1889.1939272365	629.731309078833	314.865654539417	0	314.865654539417	0	0	0	0	0
RDCT119_Microcerotermes_parvus_1	1	3	2	0	0	1	0	0	0	0	0	0	0.0012812848	780.466606643581	2341.39981993074	1560.93321328716	0	0	780.466606643581	0	0	0	0	0	0
RDCT121_Ateuchotermes_sp.C_1	27	44	24	3	23	16	15	3	8	1	9	6	0.0587225189	459.789540805955	749.286659091186	408.701814049738	51.0877267562172	391.672571797665	272.467876033158	255.438633781086	51.0877267562172	136.233938016579	17.0292422520724	153.263180268652	102.175453512434
RDCT125_Tuberculitermes_bycanistes_1	40	69	45	14	47	23	45	2	19	4	24	15	0.1127198969	354.861928550966	612.136826750415	399.219669619836	124.201674992838	416.962766047384	204.045608916805	399.219669619836	17.7430964275483	168.559416061709	35.4861928550965	212.917157130579	133.073223206612
RDCT127_Nasutitermes_sp.A_1	16	31	23	2	7	7	5	1	3	0	3	3	0.0201306286	794.808762206263	1539.94197677463	1142.5375956715	99.3510952757829	347.72883346524	347.72883346524	248.377738189457	49.6755476378914	149.026642913674	0	149.026642913674	149.026642913674
RDCT128_Thoracotermes_macrothorax_1	37	61	42	10	32	26	52	5	16	3	38	18	0.1087163518	340.3351877376	561.093147351179	386.326429323763	91.9824831723244	294.343946151438	239.154456248043	478.308912496087	45.9912415861622	147.171973075719	27.5947449516973	349.533436054833	165.568469710184
RDCT129_Crenetermes_albotarsalis_1	34	39	33	7	21	17	48	0	12	3	17	12	0.0787202201	431.909361493261	495.4254440658	419.206144978754	88.9225156015538	266.767546804661	215.954680746631	609.754392696369	0	152.438598174092	38.1096495435231	215.954680746631	152.438598174092
RDCT130_Cubitermes_sulcifrons_1	29	21	31	2	8	11	14	1	6	0	6	6	0.0418857901	692.358910522258	501.363348998877	740.107800903104	47.7488903808454	190.995561523382	262.61889709465	334.242232665918	23.8744451904227	143.246671142536	0	143.246671142536	143.246671142536
RDCT131_Orthotermes_mansuetus_1	26	39	33	7	5	8	11	0	6	1	5	7	0.0386169997	673.278613097433	1009.91791964615	854.545932008281	181.267318910847	129.476656364891	207.162650183826	284.84864400276	0	155.371987637869	25.8953312729782	129.476656364891	181.267318910847
RDCT137_Nasutitermes_latifrons_1	12	25	17	2	13	8	5	1	4	1	3	6	0.022590737	531.191169194701	1106.64826915563	752.520823025827	88.5318615324502	575.457099960926	354.127446129801	221.329653831126	44.2659307662251	177.0637230649	44.2659307662251	132.797792298675	265.595584597351
RDCT141_Ophiotermes_grandilabius_1	28	56	42	10	14	24	6	3	14	1	7	9	0.0451068593	620.748161909823	1241.49632381965	931.122242864734	221.695772110651	310.374080954911	532.069853065562	133.017463266391	66.5087316331953	310.374080954911	22.1695772110651	155.187040477456	199.526194899586
RDCT144_Odontotermes_sp.D_1	30	64	47	7	40	19	20	3	18	7	7	16	0.0725349548	413.593695380644	882.333216812041	647.963456096343	96.505195588817	551.458260507526	261.942673741075	275.729130253763	41.3593695380644	248.156217228387	96.505195588817	96.505195588817	220.58330420301
RDCT147_Astratotermes_sp._1	18	36	44	4	15	28	18	3	9	1	15	10	0.0565104923	318.524919309542	637.049838619084	778.616469423325	70.7833154021205	265.437432757952	495.483207814843	318.524919309542	53.0874865515904	159.262459654771	17.6958288505301	265.437432757952	176.958288505301
RDCT148_Microtermes_sp._1	0	0	0	0	0	1	0	0	0	0	0	0	0.0005470852	0	0	0	0	0	1827.86885845203	0	0	0	0	0	0
RDCT157_Nasutitermes_diabolus_1	31	47	37	5	7	26	20	0	10	3	14	10	0.0559879326	553.690742994143	839.466610345959	660.856693251074	89.3049585474424	125.026941966419	464.385784446701	357.21983418977	0	178.609917094885	53.5829751284654	250.053883932839	178.609917094885
RDCT159_Proboscitermes_tubuliferus_1	22	63	49	8	10	4	25	1	12	0	10	8	0.0643255545	342.010265920055	979.393034225612	761.750137731032	124.367369425475	155.459211781843	62.1836847127373	388.648029454608	15.5459211781843	186.551054138212	0	155.459211781843	124.367369425475
RDCT160_Odontotermes_nr.pauperans_1	15	37	30	4	3	13	1	1	2	0	1	3	0.0226174533	663.204641169747	1635.90478155204	1326.40928233949	176.854570978599	132.640928233949	574.777355680447	44.2136427446498	44.2136427446498	88.4272854892995	0	44.2136427446498	132.640928233949
RDCT161_Pseudacanthotermes_militaris_Congo_1	22	32	16	3	12	8	12	1	3	1	6	10	0.0383109267	574.24870382997	835.270841934502	417.635420967251	78.3066414313596	313.226565725438	208.817710483626	313.226565725438	26.1022138104532	78.3066414313596	26.1022138104532	156.613282862719	261.022138104532
RDCT163_Glyptotermes_spA_Congo_1	25	41	27	3	39	11	48	0	12	3	34	21	0.1080004911	231.480428888531	379.627903377191	249.998863199614	27.7776514666237	361.109469066109	101.851388710954	444.44242346598	0	111.110605866495	27.7776514666237	314.813383288402	194.443560266366
RDCT165_Sphaerotermes_sphaerothorax_1	7	11	7	0	1	2	0	0	0	1	1	0	0.006440361	1086.89559482768	1707.97879187207	1086.89559482768	0	155.270799261097	310.541598522195	0	0	0	155.270799261097	155.270799261097	0
RDCT175_Microtermes_sp._1	1	2	2	0	0	2	0	0	0	0	0	0	0.0014600691	684.899091419714	1369.79818283943	1369.79818283943	0	0	1369.79818283943	0	0	0	0	0	0
RDCT180_Cephalotermes_rectangularis_1	21	24	29	1	6	12	6	1	3	0	1	4	0.0232415131	903.555629517082	1032.63500516238	1247.76729790454	43.0264585484325	258.158751290595	516.31750258119	258.158751290595	43.0264585484325	129.079375645297	0	43.0264585484325	172.10583419373
RDCT183_Apilitermes_longiceps_1	34	32	27	16	18	19	37	2	21	2	20	8	0.094324389	360.458205565477	339.254781708684	286.246222066702	169.627390854342	190.830814711135	201.432526639531	392.263341350666	21.2034238567928	222.635950496324	21.2034238567928	212.034238567928	84.813695427171
RDCT211_Termes_hospes_1	5	5	7	0	0	2	0	0	1	0	0	1	0.0041414116	1207.31781405161	1207.31781405161	1690.24493967226	0	0	482.927125620646	0	0	241.463562810323	0	0	241.463562810323
RDCT220_Cubitermes_sp.A_1	10	14	8	2	0	4	4	1	2	1	3	4	0.0126413135	791.057036913134	1107.47985167839	632.845629530507	158.211407382627	0	316.422814765254	316.422814765254	79.1057036913134	158.211407382627	79.1057036913134	237.31711107394	316.422814765254
RDCT70_Ateuchotermes_retifaciens_1	40	33	29	1	16	20	13	0	9	1	7	7	0.0558762499	715.867655248639	590.590815580127	519.004050055263	17.896691381216	286.347062099456	357.93382762432	232.656987955808	0	161.070222430944	17.896691381216	125.276839668512	125.276839668512
RET-GRA_Reticulitermes_grassei_France_1	29	69	47	13	16	18	22	4	13	1	5	10	0.0579622366	500.325758650935	1190.43025334188	810.87278126186	224.283960774557	276.041797876378	310.547022610925	379.55747208002	69.0104494690945	224.283960774557	17.2526123672736	86.2630618363681	172.526123672736
Reticulitermes_aculabialis_China_1	26	36	30	7	6	15	6	3	16	1	6	8	0.0373332421	696.430273330052	964.288070764687	803.573392303906	187.500458204245	160.714678460781	401.786696151953	160.714678460781	80.3573392303906	428.572475895417	26.7857797434635	160.714678460781	214.286237947708
Reticulitermes_chinensis_China_1	14	43	35	7	4	11	5	0	2	0	2	1	0.027678357	505.81037017479	1553.56042267971	1264.52592543698	252.905185087395	144.517248621369	397.422433708764	180.646560776711	0	72.2586243106843	0	72.2586243106843	36.1293121553422
Reticulitermes_flavipes_IS58_1	4	2	0	2	0	1	0	0	0	0	0	0	0.0011337493	3528.11684205671	1764.05842102835	0	1764.05842102835	0	882.029210514176	0	0	0	0	0	0
Reticulitermes_hageni_1	7	26	14	2	0	5	0	1	1	0	0	0	0.0101131738	692.166488822728	2570.90410134156	1384.33297764546	197.761853949351	0	494.404634873377	0	98.8809269746753	98.8809269746753	0	0	0
Reticulitermes_santonensis_1	4	11	7	4	0	4	4	0	2	0	0	2	0.0074957395	533.636474426573	1467.50030467307	933.863830246502	533.636474426573	0	533.636474426573	533.636474426573	0	266.818237213286	0	0	266.818237213286
SAF1_Microtermes_sp.A_1	38	39	38	6	19	15	18	2	11	1	4	8	0.056771075	669.354948800952	686.969552716766	669.354948800952	105.687623494887	334.677474400476	264.219058737218	317.062870484661	35.229207831629	193.76064307396	17.6146039158145	70.4584156632581	140.916831326516
SAF2_Macrotermes_falciger_SouthAfrica_1	22	18	11	2	6	17	8	0	13	1	1	1	0.0294089907	748.070555172096	612.057726958987	374.035277586048	68.0064141065542	204.019242319662	578.05451990571	272.025656426217	0	442.041691692602	34.0032070532771	34.0032070532771	34.0032070532771
SAF3_Microtermes_sp.B_1	25	64	53	7	52	20	24	2	18	2	10	19	0.0835819392	299.107680909131	765.715663127376	634.108283527358	83.7501506545567	622.143976290993	239.286144727305	287.143373672766	23.9286144727305	215.357530254574	23.9286144727305	119.643072363652	227.32183749094
SAF4_Amitermes_sp.5_1	28	46	40	5	14	14	13	1	9	1	11	3	0.0543027347	515.627806862552	847.102825559907	736.611152660789	92.0763940825986	257.813903431276	257.813903431276	239.398624614756	18.4152788165197	165.737509348677	18.4152788165197	202.568066981717	55.2458364495591
SAF5_Allodontermes_schultzei_1	22	56	47	4	30	11	17	1	17	0	14	14	0.0607498145	362.141023492343	921.813514344147	773.664913824552	65.8438224531533	493.82866839865	181.070511746172	279.836245425902	16.4609556132883	279.836245425902	0	230.453378586037	230.453378586037
SAF6_Alyscotermes_sp._1	9	16	14	2	1	14	2	0	3	2	2	6	0.0169143069	532.093928128974	945.944761118175	827.701665978403	118.243095139772	59.1215475698859	827.701665978403	118.243095139772	0	177.364642709658	118.243095139772	118.243095139772	354.729285419316
SAF7_Amitermes_sp.3_1	20	43	36	4	14	12	11	0	9	0	12	7	0.048345103	413.692365077803	889.438584917277	744.646257140046	82.7384730155606	289.584655554462	248.215419046682	227.530800792792	0	186.161564285011	0	248.215419046682	144.792327777231
SAF8_Amitermes_sp.4_1	33	40	31	8	8	17	17	0	8	0	20	7	0.0646438969	510.489026536394	618.774577619871	479.5502976554	123.754915523974	123.754915523974	262.979195488445	262.979195488445	0	123.754915523974	0	309.387288809936	108.285551083477
Sclerophasma_1	5	28	29	9	35	7	139	3	1	7	84	17	0.6441729869	7.76189020912202	43.4665851710833	45.0189632129077	13.9714023764196	54.3332314638542	10.8666462927708	215.780547813592	4.65713412547321	1.5523780418244	10.8666462927708	130.39975551325	26.3904267110149
SING35_Glyptotermes_1	0	2	0	0	1	0	0	0	0	0	0	0	0.0015804724	0	1265.44443294296	0	0	632.72221647148	0	0	0	0	0	0	0
SING47_Microcerotermes_crassus_1	2	4	6	0	0	6	1	0	1	0	2	0	0.003738674	534.949022032945	1069.89804406589	1604.84706609884	0	0	1604.84706609884	267.474511016473	0	267.474511016473	0	534.949022032945	0
SING48_Microcerotermes_sp.B_1	20	36	52	4	11	18	24	0	8	0	9	3	0.0535057231	373.791789760898	672.825221569616	971.858653378334	74.7583579521795	205.585484368494	336.412610784808	448.550147713077	0	149.516715904359	0	168.206305392404	56.0687684641346
SING54_Hospitalitermes_hospitalis_1	14	16	24	3	9	13	10	2	2	0	3	4	0.0247907747	564.726200347422	645.401371825625	968.102057738438	121.012757217305	363.038271651914	524.38861460832	403.375857391016	80.6751714782031	80.6751714782031	0	121.012757217305	161.350342956406
SING55_Bulbitermes_singaporensis_1	28	67	69	10	26	14	28	0	8	0	11	17	0.0686465728	407.886349717374	976.013765395146	1005.14850466067	145.673696327634	378.751610451848	203.943174858687	407.886349717374	0	116.538957062107	0	160.241065960397	247.645283756977
SING58_Aciculitermes_aciculatus_1	37	42	24	9	23	21	33	1	13	4	19	9	0.0848904336	435.855943136566	494.755394911777	282.717368521016	106.019013195381	270.937478165973	247.377697455889	388.736381716396	11.7798903550423	153.13857461555	47.1195614201693	223.817916745804	106.019013195381
SING60_Macrotermes_malaccensis_1	30	41	30	8	29	11	25	1	11	2	13	4	0.0617998414	485.438139004674	663.432123306388	485.438139004674	129.450170401246	469.256867704518	177.993984301714	404.531782503895	16.1812713001558	177.993984301714	32.3625426003116	210.356526902025	64.7250852006232
SING73_Termes_comis_1	25	63	54	4	5	18	16	2	11	2	6	8	0.05388201	463.976752166447	1169.22141545945	1002.18978467952	74.2362803466315	92.7953504332893	334.063261559842	296.945121386526	37.1181401733157	204.149770953237	37.1181401733157	111.354420519947	148.472560693263
SING74_Neotermes_spA_Singapore_1	31	64	33	5	19	24	36	1	6	0	15	15	0.1003080391	309.048011287462	638.034603948309	328.986592660847	49.8464534334616	189.416523047154	239.262976480616	358.894464720924	9.96929068669233	59.815744120154	0	149.539360300385	149.539360300385
SING75_Schedorhinotermes_medioobscurus_Singapore_1	8	14	17	3	3	9	2	0	4	0	3	1	0.0137758766	580.725294824432	1016.26926594276	1234.04125150192	217.771985559162	217.771985559162	653.315956677486	145.181323706108	0	290.362647412216	0	217.771985559162	72.5906618530541
SING76_Glyptotermes_1	35	50	14	5	71	8	64	1	18	1	33	29	0.1497629066	233.702729164312	333.861041663303	93.4810916657249	33.3861041663303	474.082679161891	53.4177666661285	427.342133329028	6.67722083326607	120.189974998789	6.67722083326607	220.34828749778	193.639404164716
SING77_Havilanditermes_proatripennis_1	52	53	40	14	19	21	33	0	7	1	16	10	0.0832265065	624.800946078399	636.816348887599	480.616112367999	168.2156393288	228.2926533748	252.323458993199	396.508292703599	0	84.1078196643998	12.0154028092	192.2464449472	120.154028092
SING78_Hirtitermes_hirtiventris_1	34	30	29	15	36	15	54	2	29	4	38	11	0.1027959698	330.752266515414	291.840235160659	282.11222732197	145.92011758033	350.208282192791	145.92011758033	525.312423289186	19.4560156773773	282.11222732197	38.9120313547545	369.664297870168	107.008086225575
