Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
THAI100_Bulbitermes_nr.laticephalus_1	16	24	11	7	3	10	3	0	2	0	6	1	0.0880313525	181.753426996365	272.630140494547	124.955481060001	79.5171243109096	34.0787675618184	113.595891872728	34.0787675618184	0	22.7191783745456	0	68.1575351236368	11.3595891872728
THAI102_Odontotermes_longignathus_1	32	39	23	4	13	26	13	3	13	3	3	5	0.1174636776	272.424639291219	332.017529136173	195.805209490563	34.0530799114023	110.672509712058	221.345019424115	110.672509712058	25.5398099335517	110.672509712058	25.5398099335517	25.5398099335517	42.5663498892529
THAI105_Sinocapritermes_sp.1_1	16	24	19	2	1	5	3	0	4	0	6	4	0.0405626986	394.451073331694	591.676609997541	468.410649581387	49.3063841664617	24.6531920832309	123.265960416154	73.9595762496926	0	98.6127683329235	0	147.919152499385	98.6127683329235
THAI108_NODE_1_length_15711_cov_281392_ID_711_1	36	47	30	3	13	15	34	1	5	1	17	6	0.0294089907	1224.11545391797	1598.15073150402	1020.09621159831	102.009621159831	442.041691692602	510.048105799156	1156.10903981142	34.0032070532771	170.016035266385	34.0032070532771	578.05451990571	204.019242319662
THAI95_Microcerotermes_crassus_1	5	8	6	0	2	5	1	0	1	0	0	0	0.0416512654	120.044372049258	192.070995278813	144.05324645911	0	48.0177488197033	120.044372049258	24.0088744098517	0	24.0088744098517	0	0	0
TP1.15A_Cryptotermes_sp3_Malaysia_1	37	84	52	4	37	17	54	2	17	3	26	21	0.0355227286	1041.58665334059	2364.68321298944	1463.85151280299	112.603962523307	1041.58665334059	478.566840724054	1520.15349406464	56.3019812616534	478.566840724054	84.4529718924801	731.925756401494	591.170803247361
TP1.19B_Pericapritermes_sp.G_1	20	39	26	6	15	14	43	2	15	2	22	16	0.0451035219	443.424352633536	864.677487635395	576.451658423596	133.027305790061	332.568264475152	310.397046843475	953.362358162102	44.3424352633536	332.568264475152	44.3424352633536	487.766787896889	354.739482106829
TP1.19C_Termes_rostratus_1	5	17	13	0	1	2	1	0	2	1	0	0	0.063930285	78.2101941200481	265.914660008164	203.346504712125	0	15.6420388240096	31.2840776480192	15.6420388240096	0	31.2840776480192	15.6420388240096	0	0
TP1.25B_Schedorhinotermes_spB_Malaysia_1	2	1	8	0	1	1	1	0	0	0	2	0	0.2302535398	8.68607710325416	4.34303855162708	34.7443084130166	0	4.34303855162708	4.34303855162708	4.34303855162708	0	0	0	8.68607710325416	0
TP1.6A_Odontotermes_minutus_1	8	12	9	0	0	5	2	0	0	0	0	3	0.0993686767	80.5082674508435	120.762401176265	90.5718008821989	0	0	50.3176671567772	20.1270668627109	0	0	0	0	30.1906002940663
TP1.8B_Odontotermes_hainanensis_1	9	8	12	1	2	3	1	0	0	0	0	1	0.0862932114	104.295573823088	92.7071767316334	139.06076509745	11.5883970914542	23.1767941829083	34.7651912743625	11.5883970914542	0	0	0	0	11.5883970914542
TW5238_Stylotermes_sp._1	3	4	3	1	1	3	1	0	0	0	0	1	0.0882608116	33.9901701062536	45.3202268083381	33.9901701062536	11.3300567020845	11.3300567020845	33.9901701062536	11.3300567020845	0	0	0	0	11.3300567020845
US12_Coptotermes_formosanus_US_1	0	1	0	1	0	0	0	0	0	0	0	0	0.183938872	0	5.43658873802379	0	5.43658873802379	0	0	0	0	0	0	0	0
US1_Reticulitermes_nelsonae_US_1	2	15	6	1	3	5	0	3	1	0	1	1	0.133019814	15.0353540563513	112.765155422635	45.106062169054	7.51767702817567	22.553031084527	37.5883851408783	0	22.553031084527	7.51767702817567	0	7.51767702817567	7.51767702817567
WA1_Microcerotermes_sp.C_1	6	12	7	2	0	5	2	0	0	0	2	3	0.0250607939	239.417794342102	478.835588684204	279.320760065785	79.8059314473673	0	199.514828618418	79.8059314473673	0	0	0	79.8059314473673	119.708897171051
WA2_Microcerotermes_newmani_1	28	41	35	5	9	11	14	0	7	1	5	12	0.0452741966	618.453823651064	905.59309891763	773.06727956383	110.438182794833	198.788729030699	242.964002148632	309.226911825532	0	154.613455912766	22.0876365589666	110.438182794833	265.051638707599
