Species	A_G	T_A	C_A	C_T	T_C	A_C	A_T	G_T	G_A	T_G	C_G	G_C	BranchLength	sumOfSubs	A_G_fr	T_A_fr	C_A_fr	C_T_fr	T_C_fr	A_C_fr	A_T_fr	G_T_fr	G_A_fr	T_G_fr	C_G_fr	G_C_fr	Taxonomy	Worker	diet.Wood.Soil	Soldier
SAF4_Amitermes_sp.5_1	47	11	9	26	39	14	13	5	14	3	1	1	0.0523773094	183	0.256830601092896	0.0601092896174863	0.0491803278688525	0.14207650273224	0.213114754098361	0.0765027322404372	0.0710382513661202	0.0273224043715847	0.0765027322404372	0.0163934426229508	0.00546448087431694	0.00546448087431694	Amitermes-group	1	Wood	1
SAF5_Allodontermes_schultzei_1	58	14	17	20	48	29	17	4	11	14	0	2	0.0591405925	234	0.247863247863248	0.0598290598290598	0.0726495726495727	0.0854700854700855	0.205128205128205	0.123931623931624	0.0726495726495727	0.0170940170940171	0.047008547008547	0.0598290598290598	0	0.00854700854700855	Macrotermitinae	1	Wood	1
SAF7_Amitermes_sp.3_1	46	12	9	20	36	14	11	4	12	7	0	0	0.0469184751	171	0.269005847953216	0.0701754385964912	0.0526315789473684	0.116959064327485	0.210526315789474	0.0818713450292398	0.064327485380117	0.0233918128654971	0.0701754385964912	0.0409356725146199	0	0	Amitermes-group	1	Wood	1
SAF8_Amitermes_sp.4_1	40	20	7	32	32	8	18	7	17	8	0	0	0.0625417096	189	0.211640211640212	0.105820105820106	0.037037037037037	0.169312169312169	0.169312169312169	0.0423280423280423	0.0952380952380952	0.037037037037037	0.0899470899470899	0.0423280423280423	0	0	Amitermes-group	1	Wood	1
Sclerophasma_1	25	86	4	12	22	36	173	14	14	20	7	3	0.0474067726	416	0.0600961538461538	0.206730769230769	0.00961538461538462	0.0288461538461538	0.0528846153846154	0.0865384615384615	0.415865384615385	0.0336538461538462	0.0336538461538462	0.0480769230769231	0.0168269230769231	0.00721153846153846	NA	NA	NA	NA
SING48_Microcerotermes_sp.B_1	38	9	9	24	55	12	26	6	18	2	0	0	0.0550267869	199	0.190954773869347	0.0452261306532663	0.0452261306532663	0.120603015075377	0.276381909547739	0.0603015075376884	0.130653266331658	0.0301507537688442	0.0904522613065327	0.0100502512562814	0	0	Microcerotermes	1	Wood	1
SING54_Hospitalitermes_hospitalis_1	16	3	2	13	24	9	10	3	14	4	0	2	0.0243201547	100	0.16	0.03	0.02	0.13	0.24	0.09	0.1	0.03	0.14	0.04	0	0.02	Nasutitermitinae	1	Wood	1
SING55_Bulbitermes_singaporensis_1	67	13	7	27	69	25	29	9	12	17	0	1	0.0659772524	276	0.242753623188406	0.0471014492753623	0.0253623188405797	0.0978260869565217	0.25	0.0905797101449275	0.105072463768116	0.0326086956521739	0.0434782608695652	0.0615942028985507	0	0.0036231884057971	Nasutitermitinae	1	Wood	1
SING58_Aciculitermes_aciculatus_1	43	20	11	36	24	23	33	9	18	9	5	1	0.0802704551	232	0.185344827586207	0.0862068965517241	0.0474137931034483	0.155172413793103	0.103448275862069	0.0991379310344828	0.142241379310345	0.0387931034482759	0.0775862068965517	0.0387931034482759	0.021551724137931	0.00431034482758621	Nasutitermitinae	1	Soil	1
SING60_Macrotermes_malaccensis_1	42	14	10	30	29	29	26	7	9	4	2	1	0.0598379078	203	0.206896551724138	0.0689655172413793	0.0492610837438424	0.147783251231527	0.142857142857143	0.142857142857143	0.12807881773399	0.0344827586206897	0.0443349753694581	0.0197044334975369	0.00985221674876847	0.00492610837438424	Macrotermitinae	1	Wood	1
SING73_Termes_comis_1	62	7	10	24	53	5	18	3	18	8	2	2	0.0523043512	212	0.292452830188679	0.0330188679245283	0.0471698113207547	0.113207547169811	0.25	0.0235849056603774	0.0849056603773585	0.0141509433962264	0.0849056603773585	0.0377358490566038	0.00943396226415094	0.00943396226415094	Termes-group	1	Soil	1
SING74_Neotermes_spA_Singapore_1	64	15	6	31	35	19	36	5	22	15	0	1	0.094550819	249	0.257028112449799	0.0602409638554217	0.0240963855421687	0.124497991967871	0.140562248995984	0.0763052208835341	0.144578313253012	0.0200803212851406	0.0883534136546185	0.0602409638554217	0	0.00401606425702811	Kalotermitidae	0	Wood	1
SING75_Schedorhinotermes_medioobscurus_Singapore_1	33	8	9	26	31	5	3	6	11	5	1	0	0.0352292875	138	0.239130434782609	0.0579710144927536	0.0652173913043478	0.188405797101449	0.22463768115942	0.036231884057971	0.0217391304347826	0.0434782608695652	0.0797101449275362	0.036231884057971	0.0072463768115942	0	Rhinotermitinae	1	Wood	1
SING76_Glyptotermes_1	51	34	14	32	17	70	65	5	7	29	1	1	0.1385965023	326	0.156441717791411	0.104294478527607	0.0429447852760736	0.098159509202454	0.0521472392638037	0.214723926380368	0.199386503067485	0.0153374233128834	0.0214723926380368	0.0889570552147239	0.00306748466257669	0.00306748466257669	Kalotermitidae	0	Wood	1
SING77_Havilanditermes_proatripennis_1	53	16	7	51	40	19	32	15	20	10	1	0	0.0797405396	264	0.200757575757576	0.0606060606060606	0.0265151515151515	0.193181818181818	0.151515151515152	0.071969696969697	0.121212121212121	0.0568181818181818	0.0757575757575758	0.0378787878787879	0.00378787878787879	0	Nasutitermitinae	1	Wood	1
SING78_Hirtitermes_hirtiventris_1	29	40	26	32	29	37	54	15	15	11	4	2	0.0968660264	294	0.0986394557823129	0.136054421768707	0.0884353741496599	0.108843537414966	0.0986394557823129	0.125850340136054	0.183673469387755	0.0510204081632653	0.0510204081632653	0.0374149659863946	0.0136054421768707	0.00680272108843537	Nasutitermitinae	1	Wood	1
SING80_Coptotermes_kalshoveni_Singapore_1	28	3	13	48	31	14	8	10	18	5	1	0	0.0263510184	179	0.156424581005587	0.0167597765363128	0.0726256983240224	0.268156424581006	0.173184357541899	0.0782122905027933	0.0446927374301676	0.0558659217877095	0.100558659217877	0.0279329608938547	0.00558659217877095	0	Coptotermitinae	1	Wood	1
SING86_Globitermes_globosus_1	63	12	5	27	42	26	29	5	21	17	0	2	0.0673862126	249	0.253012048192771	0.0481927710843374	0.0200803212851406	0.108433734939759	0.168674698795181	0.104417670682731	0.116465863453815	0.0200803212851406	0.0843373493975904	0.0682730923694779	0	0.00803212851405622	Amitermes-group	1	Wood	1
SING87_Macrotermes_carbonarius_Singapore_1	52	16	21	34	27	34	31	9	12	20	4	3	0.0323150171	263	0.197718631178707	0.0608365019011407	0.0798479087452472	0.129277566539924	0.102661596958175	0.129277566539924	0.11787072243346	0.0342205323193916	0.0456273764258555	0.0760456273764259	0.0152091254752852	0.0114068441064639	Macrotermitinae	1	Wood	1
SING88_Procapritermes_sp.G_1	68	46	8	30	48	42	55	3	16	14	2	5	0.1026152646	337	0.201780415430267	0.136498516320475	0.0237388724035608	0.0890207715133531	0.142433234421365	0.124629080118694	0.163204747774481	0.00890207715133531	0.0474777448071217	0.0415430267062315	0.00593471810089021	0.0148367952522255	Pericapritermes-group	1	Soil	1
SING89_Mirocapritermes_connectens_1	34	11	3	16	28	11	22	4	7	8	0	1	0.0338011438	145	0.23448275862069	0.0758620689655172	0.0206896551724138	0.110344827586207	0.193103448275862	0.0758620689655172	0.151724137931034	0.0275862068965517	0.0482758620689655	0.0551724137931034	0	0.00689655172413793	Pericapritermes-group	1	Soil	1
