Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
CA37_Sphaerotermes_sp.A_1	22	53	39	1	5	14	0	9	4	2	11	6	0.049462473	166	0.13253012	0.319277108	0.234939759	0.006024096	0.030120482	0.084337349	0	0.054216867	0.024096386	0.012048193	0.06626506	0.036144578	Sphaerotermitinae	1	Wood	1	2.53191489361702	119	47	0
Chi131_Stylotermes_sp._1	7	50	33	3	9	18	1	39	4	5	9	17	0.056022729	195	0.035897436	0.256410256	0.169230769	0.015384615	0.046153846	0.092307692	0.005128205	0.2	0.020512821	0.025641026	0.046153846	0.087179487	Stylotermitidae	?	Wood	1	1.03125	99	96	0
COL-4PUERTO_Heterotermes_nr_tenuis_1	18	59	30	4	10	4	1	4	7	0	0	2	0.030037722	139	0.129496403	0.424460432	0.215827338	0.028776978	0.071942446	0.028776978	0.007194245	0.028776978	0.050359712	0	0	0.014388489	Coptotermitinae	1	Wood	1	5.31818181818182	117	22	0
COPFRE_Coptotermes_frenchi_Australia_1	22	28	30	6	14	7	0	8	6	0	2	5	0.031386206	128	0.171875	0.21875	0.234375	0.046875	0.109375	0.0546875	0	0.0625	0.046875	0	0.015625	0.0390625	Coptotermitinae	1	Wood	1	2.76470588235294	94	34	0
CRYDRUDDLE_Cryptotermes_dudleyi_Australia_1	38	85	91	2	16	22	5	29	8	3	11	16	0.098297485	326	0.116564417	0.260736196	0.279141104	0.006134969	0.049079755	0.067484663	0.015337423	0.088957055	0.024539877	0.009202454	0.033742331	0.049079755	Kalotermitidae	0	wood	1	2.39583333333333	230	96	0
Cryptotermes_secundus_1	33	99	57	8	19	25	2	24	6	5	8	19	0.094558619	305	0.108196721	0.324590164	0.186885246	0.026229508	0.062295082	0.081967213	0.006557377	0.078688525	0.019672131	0.016393443	0.026229508	0.062295082	Kalotermitidae	0	wood	1	2.14432989690722	208	97	0
CRYQUEEN_Cryptotermes_queenslandicus_Australia_1	34	48	27	1	20	10	0	5	6	1	5	6	0.044821637	163	0.208588957	0.294478528	0.165644172	0.006134969	0.122699387	0.061349693	0	0.030674847	0.036809816	0.006134969	0.030674847	0.036809816	Kalotermitidae	0	wood	1	3.79411764705882	129	34	0
CU_1490_0_NODE_2_length_15846_cov_660191_ID_1569873_1	34	21	24	7	16	46	1	30	10	0	24	19	0.10386029	232	0.146551724	0.090517241	0.103448276	0.030172414	0.068965517	0.198275862	0.004310345	0.129310345	0.043103448	0	0.103448276	0.081896552	Kalotermitidae	0	wood	1	0.693430656934307	95	137	0
Dolichorhinotermes_longilabius_1	36	28	30	6	11	53	1	24	14	2	34	15	0.095142444	254	0.141732283	0.11023622	0.118110236	0.023622047	0.043307087	0.208661417	0.003937008	0.094488189	0.05511811	0.007874016	0.133858268	0.059055118	Rhinotermitinae	1	Wood	1	0.704697986577181	105	149	0
E31_Microtermes_obesi_Pakistan_1	18	43	23	1	10	19	2	17	12	0	5	5	0.035195927	155	0.116129032	0.277419355	0.148387097	0.006451613	0.064516129	0.122580645	0.012903226	0.109677419	0.077419355	0	0.032258065	0.032258065	Macrotermitinae	1	Wood	1	1.54098360655738	94	61	0
E50_Microtermes_sp1_Pakistan_1	23	13	18	1	7	3	0	4	4	0	1	2	0.022211284	76	0.302631579	0.171052632	0.236842105	0.013157895	0.092105263	0.039473684	0	0.052631579	0.052631579	0	0.013157895	0.026315789	Macrotermitinae	1	Wood	1	4.06666666666667	61	15	0
E58_Kalotermitidae_spA_Pakistan_1	44	81	67	5	16	75	5	59	21	2	28	23	0.145691263	426	0.103286385	0.190140845	0.157276995	0.011737089	0.037558685	0.176056338	0.011737089	0.138497653	0.049295775	0.004694836	0.0657277	0.05399061	Kalotermitidae	0	wood	1	0.954128440366973	208	218	0
EC1466_0_NODE_3_length_15795_cov_299853_ID_608187_1	24	53	41	0	7	38	1	37	5	2	29	12	0.092125649	249	0.096385542	0.212851406	0.164658635	0	0.02811245	0.152610442	0.004016064	0.148594378	0.020080321	0.008032129	0.116465863	0.048192771	Kalotermitidae	0	wood	1	1.00806451612903	125	124	0
Embiratermes_neotenicus_French_Guiana_1	29	66	38	8	18	31	2	38	12	5	26	29	0.082813201	302	0.09602649	0.218543046	0.125827815	0.026490066	0.059602649	0.102649007	0.006622517	0.125827815	0.039735099	0.016556291	0.086092715	0.09602649	Syntermitinae	1	Soil	1	1	151	151	0
FG16-11_1	20	89	59	9	17	49	5	49	11	3	23	19	0.131065754	353	0.056657224	0.252124646	0.16713881	0.025495751	0.04815864	0.138810198	0.014164306	0.138810198	0.031161473	0.008498584	0.065155807	0.053824363	Kalotermitidae	0	wood	1	1.10119047619048	185	168	0
FG-ND2-32_Nasutitermes_sp.SC_1	37	25	24	7	16	10	1	3	4	2	2	4	0.029689482	135	0.274074074	0.185185185	0.177777778	0.051851852	0.118518519	0.074074074	0.007407407	0.022222222	0.02962963	0.014814815	0.014814815	0.02962963	Nasutitermitinae	1	Wood	1	3.09090909090909	102	33	0
FG-ND2-3_Comatermes_sp._1	28	54	58	9	11	54	0	41	13	2	22	21	0.119939229	313	0.089456869	0.172523962	0.185303514	0.028753994	0.03514377	0.172523962	0	0.130990415	0.041533546	0.006389776	0.07028754	0.067092652	Kalotermitidae	0	wood	1	0.932098765432099	151	162	0
FLY667_0_NODE_1_length_15810_cov_38592_ID_136216_1	12	120	64	4	8	31	1	54	7	2	22	17	0.115893131	342	0.035087719	0.350877193	0.187134503	0.011695906	0.023391813	0.090643275	0.002923977	0.157894737	0.020467836	0.005847953	0.064327485	0.049707602	Kalotermitidae	0	wood	1	1.47826086956522	204	138	0
G13-067_Crepititermes_verruculosus_1	41	60	45	13	11	38	2	36	12	1	24	10	0.091539088	293	0.139931741	0.204778157	0.153583618	0.044368601	0.037542662	0.129692833	0.006825939	0.122866894	0.040955631	0.003412969	0.081911263	0.034129693	Neocapri-group	1	Soil	1	1.15441176470588	157	136	0
G13-080_Neocapritermes_taracua_1	25	58	37	11	7	17	1	15	9	2	16	4	0.060945827	202	0.123762376	0.287128713	0.183168317	0.054455446	0.034653465	0.084158416	0.004950495	0.074257426	0.044554455	0.00990099	0.079207921	0.01980198	Neocapri-group	1	Soil	1	1.69333333333333	127	75	0
G13-084_Termes_sp.A_1	33	45	49	9	17	24	6	11	13	2	19	6	0.070866355	234	0.141025641	0.192307692	0.209401709	0.038461538	0.072649573	0.102564103	0.025641026	0.047008547	0.055555556	0.008547009	0.081196581	0.025641026	Termes-group	1	Soil	1	1.6	144	90	0
G13-117_Nasutitermes_banksi_1	49	60	51	3	17	24	0	21	8	1	9	7	0.060984064	250	0.196	0.24	0.204	0.012	0.068	0.096	0	0.084	0.032	0.004	0.036	0.028	Nasutitermitinae	1	Wood	1	2.42465753424658	177	73	0
G13-127_Nasutitermes_similis_1	30	62	31	5	13	14	0	11	7	3	8	6	0.046767414	190	0.157894737	0.326315789	0.163157895	0.026315789	0.068421053	0.073684211	0	0.057894737	0.036842105	0.015789474	0.042105263	0.031578947	Nasutitermitinae	1	Wood	1	2.51851851851852	136	54	0
G13-140_Spinitermes_trispinosus_1	18	50	42	8	10	10	2	5	2	1	7	1	0.033088855	156	0.115384615	0.320512821	0.269230769	0.051282051	0.064102564	0.064102564	0.012820513	0.032051282	0.012820513	0.006410256	0.044871795	0.006410256	Termes-group	1	Soil	1	3.33333333333333	120	36	0
G678_Rugitermes_sp_A_1	26	33	44	6	16	72	1	34	8	2	35	9	0.111719935	286	0.090909091	0.115384615	0.153846154	0.020979021	0.055944056	0.251748252	0.003496503	0.118881119	0.027972028	0.006993007	0.122377622	0.031468531	Kalotermitidae	0	wood	1	0.712574850299401	119	167	0
G681_Neocapritermes_araguaia_1	18	36	28	1	11	15	1	3	3	1	8	5	0.043793059	130	0.138461538	0.276923077	0.215384615	0.007692308	0.084615385	0.115384615	0.007692308	0.023076923	0.023076923	0.007692308	0.061538462	0.038461538	Neocapri-group	1	Soil	1	2.51351351351351	93	37	0
G683_Neocapritermes_sp.H_1	33	60	38	7	12	38	2	28	8	3	19	12	0.073900192	260	0.126923077	0.230769231	0.146153846	0.026923077	0.046153846	0.146153846	0.007692308	0.107692308	0.030769231	0.011538462	0.073076923	0.046153846	Neocapri-group	1	Soil	1	1.22222222222222	143	117	0
G687_Cylindrotermes_parvignathus_1	29	36	38	12	12	35	5	22	23	4	19	10	0.076222221	245	0.118367347	0.146938776	0.155102041	0.048979592	0.048979592	0.142857143	0.020408163	0.089795918	0.093877551	0.016326531	0.07755102	0.040816327	Cephalo-group	1	Wood	1	0.884615384615385	115	130	0
G697_Orthognathotermes_aduncus_1	28	70	55	9	13	47	6	28	15	6	35	32	0.099592831	344	0.081395349	0.203488372	0.159883721	0.026162791	0.037790698	0.136627907	0.01744186	0.081395349	0.043604651	0.01744186	0.101744186	0.093023256	Amitermes-group	1	soil	1	0.932584269662921	166	178	0
G699_Inquilinitermes_inquilinus_1	43	61	45	15	19	41	2	29	24	6	25	6	0.095708368	316	0.136075949	0.193037975	0.142405063	0.047468354	0.060126582	0.129746835	0.006329114	0.091772152	0.075949367	0.018987342	0.079113924	0.018987342	Termes-group	1	Soil	1	1.13513513513514	168	148	0
G707_Neocapritermes_angusticeps_1	17	34	28	4	7	15	2	8	5	0	8	6	0.039917035	134	0.126865672	0.253731343	0.208955224	0.029850746	0.052238806	0.111940299	0.014925373	0.059701493	0.037313433	0	0.059701493	0.044776119	Neocapri-group	1	Soil	1	1.79166666666667	86	48	0
G711_Labiotermes_labralis_1	41	43	19	6	15	51	3	23	14	0	29	16	0.088458272	260	0.157692308	0.165384615	0.073076923	0.023076923	0.057692308	0.196153846	0.011538462	0.088461538	0.053846154	0	0.111538462	0.061538462	Syntermitinae	1	Soil	1	0.830985915492958	118	142	0
G712_Subulitermes_sp._1	33	46	27	8	16	35	2	19	11	0	29	8	0.063444027	234	0.141025641	0.196581197	0.115384615	0.034188034	0.068376068	0.14957265	0.008547009	0.081196581	0.047008547	0	0.123931624	0.034188034	Nasutitermitinae	1	Soil	1	1.08928571428571	122	112	0
G718_Nasutitermes_octopilis_1	36	69	56	11	16	19	1	26	12	3	25	20	0.070675479	294	0.12244898	0.234693878	0.19047619	0.037414966	0.054421769	0.06462585	0.003401361	0.088435374	0.040816327	0.010204082	0.085034014	0.068027211	Nasutitermitinae	1	Wood	1	1.51282051282051	177	117	0
G728_Agnathotermes_crassinasus_1	26	49	39	6	9	24	2	23	7	1	16	9	0.056604207	211	0.123222749	0.232227488	0.184834123	0.028436019	0.042654028	0.113744076	0.009478673	0.109004739	0.033175355	0.004739336	0.075829384	0.042654028	Nasutitermitinae	1	Soil	1	1.39772727272727	123	88	0
G729_Araujotermes_parvellus_1	41	40	37	9	16	26	1	14	8	1	18	11	0.065978021	222	0.184684685	0.18018018	0.166666667	0.040540541	0.072072072	0.117117117	0.004504505	0.063063063	0.036036036	0.004504505	0.081081081	0.04954955	Nasutitermitinae	1	Soil	1	1.52272727272727	134	88	0
G751_Rhinotermes_hispidus_FG_1	14	56	42	8	10	41	4	41	12	0	20	21	0.07910262	269	0.05204461	0.208178439	0.156133829	0.029739777	0.037174721	0.152416357	0.014869888	0.152416357	0.044609665	0	0.074349442	0.078066914	Rhinotermitinae	1	Wood	1	0.829931972789116	122	147	0
G769_Dihoplotermes_sp.A_1	35	54	40	8	16	27	1	32	30	8	25	14	0.089307485	290	0.120689655	0.186206897	0.137931034	0.027586207	0.055172414	0.093103448	0.003448276	0.110344828	0.103448276	0.027586207	0.086206897	0.048275862	Termes-group	1	Soil	1	1	145	145	0
Glypto1_Glyptotermes_fuscus_Japan_1	17	47	40	8	18	45	2	26	18	2	18	16	0.083859734	257	0.06614786	0.182879377	0.155642023	0.031128405	0.070038911	0.175097276	0.007782101	0.101167315	0.070038911	0.007782101	0.070038911	0.062256809	Kalotermitidae	0	wood	1	0.903703703703704	122	135	0
Glyptotermes_satsumensis_1	19	65	38	2	10	32	1	24	7	1	22	10	0.083333432	231	0.082251082	0.281385281	0.164502165	0.008658009	0.043290043	0.138528139	0.004329004	0.103896104	0.03030303	0.004329004	0.095238095	0.043290043	Kalotermitidae	0	wood	1	1.33333333333333	132	99	0
GP17-13_1	39	43	14	8	18	57	3	30	22	0	27	17	0.115422823	278	0.14028777	0.154676259	0.050359712	0.028776978	0.064748201	0.205035971	0.010791367	0.107913669	0.079136691	0	0.097122302	0.061151079	Kalotermitidae	0	wood	1	0.695121951219512	114	164	0
GR2200_NODE_14_length_15769_cov_491341_ID_624588_1	30	105	77	8	24	37	4	36	14	1	17	28	0.124589337	381	0.078740157	0.275590551	0.202099738	0.020997375	0.062992126	0.097112861	0.010498688	0.094488189	0.036745407	0.002624672	0.044619423	0.073490814	Kalotermitidae	0	wood	1	1.62758620689655	236	145	0
Hodotermopsis_sjosdteti_1	29	67	29	10	14	133	3	32	12	4	44	27	0.272025284	404	0.071782178	0.165841584	0.071782178	0.024752475	0.034653465	0.329207921	0.007425743	0.079207921	0.02970297	0.00990099	0.108910891	0.066831683	Archotermopsidae	0	wood	1	0.524528301886792	139	265	0
Incisitermes_arizonensis_1	15	35	22	0	4	1	2	2	5	0	0	1	0.024061522	87	0.172413793	0.402298851	0.252873563	0	0.045977011	0.011494253	0.022988506	0.022988506	0.057471264	0	0	0.011494253	Kalotermitidae	0	wood	1	6.90909090909091	76	11	0
IND1_Microtermes_sp.C_India_1	16	28	19	2	21	3	0	2	3	0	1	1	0.021316379	96	0.166666667	0.291666667	0.197916667	0.020833333	0.21875	0.03125	0	0.020833333	0.03125	0	0.010416667	0.010416667	Macrotermitinae	1	Wood	1	7	84	12	0
IND2_Trinervitermes_sp._1	18	34	27	3	7	6	1	14	1	0	6	2	0.032077224	119	0.151260504	0.285714286	0.226890756	0.025210084	0.058823529	0.050420168	0.008403361	0.117647059	0.008403361	0	0.050420168	0.016806723	Nasutitermitinae	1	Wood	1	2.60606060606061	86	33	0
IND3_Heterotermes_malabaricus_1	16	60	36	4	11	9	0	11	7	0	2	2	0.041927128	158	0.101265823	0.379746835	0.227848101	0.025316456	0.069620253	0.056962025	0	0.069620253	0.044303797	0	0.012658228	0.012658228	Coptotermitinae	1	Wood	1	3.51428571428571	123	35	0
IND6_Odontotermes_sp.C_1	21	56	44	4	15	8	3	16	11	2	4	8	0.043318848	192	0.109375	0.291666667	0.229166667	0.020833333	0.078125	0.041666667	0.015625	0.083333333	0.057291667	0.010416667	0.020833333	0.041666667	Macrotermitinae	1	Wood	1	2.42857142857143	136	56	0
KE15-140_1	43	42	36	11	16	61	5	68	23	4	37	24	0.153127942	370	0.116216216	0.113513514	0.097297297	0.02972973	0.043243243	0.164864865	0.013513514	0.183783784	0.062162162	0.010810811	0.1	0.064864865	Kalotermitidae	0	wood	1	0.587982832618026	137	233	0
KE15-30_1	14	56	37	7	13	53	3	68	17	2	32	34	0.147241577	336	0.041666667	0.166666667	0.110119048	0.020833333	0.038690476	0.157738095	0.008928571	0.202380952	0.050595238	0.005952381	0.095238095	0.101190476	Kalotermitidae	0	wood	1	0.555555555555556	120	216	0
MAD15-108_NODE_1_length_15757_cov_110743_ID_123_1	20	50	67	9	22	51	2	71	14	2	18	22	0.121235382	348	0.057471264	0.143678161	0.192528736	0.025862069	0.063218391	0.146551724	0.005747126	0.204022989	0.040229885	0.005747126	0.051724138	0.063218391	Kalotermitidae	0	wood	1	0.841269841269841	159	189	0
MAD15-171_NODE_1_length_15507_cov_475004_ID_850_1	22	92	43	10	14	66	2	48	17	5	23	20	0.138377779	362	0.060773481	0.254143646	0.11878453	0.027624309	0.038674033	0.182320442	0.005524862	0.132596685	0.046961326	0.013812155	0.063535912	0.055248619	Kalotermitidae	0	wood	1	0.895287958115183	171	191	0
MAL27_Hospitalitermes_medioflavus_1	21	45	28	2	12	10	1	17	2	3	4	2	0.032365408	147	0.142857143	0.306122449	0.19047619	0.013605442	0.081632653	0.068027211	0.006802721	0.115646259	0.013605442	0.020408163	0.027210884	0.013605442	Nasutitermitinae	1	Wood	1	2.58536585365854	106	41	0
MAL29_Parrhinotermes_sp2_Malaysia_1	22	41	32	1	12	4	1	5	6	1	8	4	0.038404278	137	0.160583942	0.299270073	0.233576642	0.00729927	0.087591241	0.02919708	0.00729927	0.03649635	0.04379562	0.00729927	0.058394161	0.02919708	Rhinotermitinae	1	Wood	1	3.56666666666667	107	30	0
MAL36_Cryptotermes_sp1_Malaysia_1	40	52	59	16	20	51	4	35	20	1	20	13	0.111571631	331	0.120845921	0.157099698	0.178247734	0.048338369	0.060422961	0.15407855	0.012084592	0.105740181	0.060422961	0.003021148	0.060422961	0.039274924	Kalotermitidae	0	wood	1	1.06875	171	160	0
Nasutitermes_nr.perparvus_Thailand_1	35	36	28	7	12	21	1	12	16	1	19	7	0.062728913	195	0.179487179	0.184615385	0.143589744	0.035897436	0.061538462	0.107692308	0.005128205	0.061538462	0.082051282	0.005128205	0.097435897	0.035897436	Nasutitermitinae	1	Wood	1	1.32142857142857	111	84	0
NG71_Microcerotermes_biroi_1	29	25	24	8	23	26	2	9	15	3	14	6	0.060452518	184	0.157608696	0.135869565	0.130434783	0.043478261	0.125	0.141304348	0.010869565	0.048913043	0.081521739	0.016304348	0.076086957	0.032608696	Microcerotermes	1	Wood	1	1.21686746987952	101	83	0
NG77_Termitogeton_planus_1	20	87	55	21	21	44	6	76	25	10	20	42	0.176744908	427	0.046838407	0.203747073	0.128805621	0.049180328	0.049180328	0.103044496	0.014051522	0.177985948	0.058548009	0.023419204	0.046838407	0.098360656	Termitogetoninae	0	wood	1	0.75	183	244	0
NG79_Coptotermes_elisae_New_Guinea_1	29	43	32	7	12	12	1	6	14	3	8	3	0.043226884	170	0.170588235	0.252941176	0.188235294	0.041176471	0.070588235	0.070588235	0.005882353	0.035294118	0.082352941	0.017647059	0.047058824	0.017647059	Coptotermitinae	1	Wood	1	2.14814814814815	116	54	0
NG91_Prorhinotermes_inopinatus_New_Guinea_1	30	59	56	5	31	7	3	23	8	4	7	8	0.057271328	241	0.124481328	0.244813278	0.232365145	0.020746888	0.128630705	0.029045643	0.012448133	0.095435685	0.033195021	0.01659751	0.029045643	0.033195021	Prorhinotermitinae	0	wood	1	2.70769230769231	176	65	0
NSW6_Occasitermes_occasus_1	28	43	50	1	12	16	3	7	8	1	7	5	0.046974136	181	0.154696133	0.237569061	0.276243094	0.005524862	0.066298343	0.08839779	0.016574586	0.038674033	0.044198895	0.005524862	0.038674033	0.027624309	Nasutitermitinae	1	Wood	1	2.77083333333333	133	48	0
NU_mod_1	20	38	43	1	7	37	2	29	12	0	21	16	0.099528601	226	0.088495575	0.168141593	0.190265487	0.004424779	0.030973451	0.163716814	0.008849558	0.128318584	0.053097345	0	0.092920354	0.07079646	Kalotermitidae	0	wood	1	0.915254237288136	108	118	0
Odontotermes_formosanus_Japan_1	21	39	14	3	20	14	0	3	10	3	3	1	0.033117438	131	0.160305344	0.297709924	0.106870229	0.022900763	0.152671756	0.106870229	0	0.022900763	0.076335878	0.022900763	0.022900763	0.007633588	Macrotermitinae	1	Wood	1	2.54054054054054	94	37	0
PHI3_Hospitalitermes_sp._1	16	29	25	4	22	4	1	13	9	1	5	3	0.029467359	132	0.121212121	0.21969697	0.189393939	0.03030303	0.166666667	0.03030303	0.007575758	0.098484848	0.068181818	0.007575758	0.037878788	0.022727273	Nasutitermitinae	1	Wood	1	2.3	92	40	0
Prorhinotermes_canalifrons_1	32	64	54	9	28	15	4	19	8	2	5	13	0.058268356	253	0.126482213	0.252964427	0.213438735	0.035573123	0.110671937	0.059288538	0.015810277	0.075098814	0.031620553	0.007905138	0.019762846	0.051383399	Prorhinotermitinae	0	wood	1	2.37333333333333	178	75	0
RDCT011_Macrotermes_muelleri_Congo_1	13	69	39	11	8	9	0	11	7	0	12	11	0.046682984	190	0.068421053	0.363157895	0.205263158	0.057894737	0.042105263	0.047368421	0	0.057894737	0.036842105	0	0.063157895	0.057894737	Macrotermitinae	1	Wood	1	2.11475409836066	129	61	0
RDCT012_Furculitermes_longilabius_1	16	30	29	4	15	6	2	6	7	1	3	1	0.025406998	120	0.133333333	0.25	0.241666667	0.033333333	0.125	0.05	0.016666667	0.05	0.058333333	0.008333333	0.025	0.008333333	Cubitermitinae	1	Soil	1	3	90	30	0
RDCT016_Protermes_prorepens_1	31	52	49	5	15	22	2	33	19	1	18	10	0.078921801	257	0.120622568	0.20233463	0.190661479	0.019455253	0.058365759	0.085603113	0.007782101	0.128404669	0.073929961	0.003891051	0.070038911	0.038910506	Macrotermitinae	1	Wood	1	1.33636363636364	147	110	0
RDCT033_Microcerotermes_fuscotibialis_1	18	49	48	2	7	6	0	5	4	0	5	2	0.037293498	146	0.123287671	0.335616438	0.328767123	0.01369863	0.047945205	0.04109589	0	0.034246575	0.02739726	0	0.034246575	0.01369863	Microcerotermes	1	Wood	1	5.08333333333333	122	24	0
RDCT051_Orthotermes_depressifrons_1	25	41	37	4	9	7	2	11	7	3	17	3	0.041440711	166	0.15060241	0.246987952	0.222891566	0.024096386	0.054216867	0.042168675	0.012048193	0.06626506	0.042168675	0.018072289	0.102409639	0.018072289	Cubitermitinae	1	Soil	1	2.07407407407407	112	54	0
RDCT100_Noditermes_cristifrons_1	5	55	49	4	7	15	2	7	10	1	13	14	0.055910675	182	0.027472527	0.302197802	0.269230769	0.021978022	0.038461538	0.082417582	0.010989011	0.038461538	0.054945055	0.005494505	0.071428571	0.076923077	Cubitermitinae	1	Soil	1	1.75757575757576	116	66	0
RDCT106_Nasutitermes_lujae_1	44	68	41	7	23	33	3	20	16	6	15	14	0.074747415	290	0.151724138	0.234482759	0.14137931	0.024137931	0.079310345	0.113793103	0.010344828	0.068965517	0.055172414	0.020689655	0.051724138	0.048275862	Nasutitermitinae	1	Wood	1	1.54385964912281	176	114	0
RDCT108_Procubitermes_undulans_1	34	45	41	9	9	34	1	17	6	3	22	5	0.06664134	226	0.150442478	0.199115044	0.181415929	0.039823009	0.039823009	0.150442478	0.004424779	0.075221239	0.026548673	0.013274336	0.097345133	0.022123894	Cubitermitinae	1	Soil	1	1.32989690721649	129	97	0
RDCT125_Tuberculitermes_bycanistes_1	37	67	47	13	19	47	2	43	18	4	25	15	0.105640352	337	0.109792285	0.198813056	0.139465875	0.038575668	0.056379822	0.139465875	0.005934718	0.127596439	0.053412463	0.011869436	0.074183976	0.044510386	Termes-group	1	Soil	1	1.01796407185629	170	167	0
RDCT127_Nasutitermes_sp.A_1	15	31	23	2	7	5	1	7	3	0	3	3	0.020004706	100	0.15	0.31	0.23	0.02	0.07	0.05	0.01	0.07	0.03	0	0.03	0.03	Nasutitermitinae	1	Wood	1	3.16666666666667	76	24	0
RDCT131_Orthotermes_mansuetus_1	18	39	35	6	8	10	0	3	6	1	5	6	0.037246199	137	0.131386861	0.284671533	0.255474453	0.04379562	0.058394161	0.072992701	0	0.02189781	0.04379562	0.00729927	0.03649635	0.04379562	Cubitermitinae	1	Soil	1	2.7027027027027	100	37	0
RDCT137_Nasutitermes_latifrons_1	10	24	17	2	7	5	1	11	4	1	3	6	0.022082859	91	0.10989011	0.263736264	0.186813187	0.021978022	0.076923077	0.054945055	0.010989011	0.120879121	0.043956044	0.010989011	0.032967033	0.065934066	Nasutitermitinae	1	Wood	1	1.75757575757576	58	33	0
RDCT144_Odontotermes_sp.D_1	28	62	47	8	18	19	3	33	18	8	7	16	0.068808791	267	0.104868914	0.232209738	0.176029963	0.029962547	0.06741573	0.071161049	0.011235955	0.123595506	0.06741573	0.029962547	0.026217228	0.059925094	Macrotermitinae	1	Wood	1	1.38392857142857	155	112	0
RDCT159_Proboscitermes_tubuliferus_1	22	60	52	7	3	24	1	10	11	0	13	8	0.060786224	211	0.104265403	0.28436019	0.246445498	0.033175355	0.014218009	0.113744076	0.004739336	0.047393365	0.052132701	0	0.061611374	0.037914692	Cubitermitinae	1	Soil	1	1.85135135135135	137	74	0
RDCT160_Odontotermes_nr.pauperans_1	16	36	30	4	13	1	1	3	1	0	2	3	0.023140477	110	0.145454545	0.327272727	0.272727273	0.036363636	0.118181818	0.009090909	0.009090909	0.027272727	0.009090909	0	0.018181818	0.027272727	Macrotermitinae	1	Wood	1	6.33333333333333	95	15	0
RDCT163_Glyptotermes_spA_Congo_1	17	44	29	2	11	50	0	40	9	3	35	21	0.100317662	261	0.0651341	0.168582375	0.111111111	0.007662835	0.042145594	0.191570881	0	0.153256705	0.034482759	0.011494253	0.134099617	0.08045977	Kalotermitidae	0	wood	1	0.63125	101	160	0
RDCT180_Cephalotermes_rectangularis_1	21	24	32	1	10	6	1	5	2	0	1	4	0.023463793	107	0.196261682	0.224299065	0.299065421	0.009345794	0.093457944	0.056074766	0.009345794	0.046728972	0.018691589	0	0.009345794	0.037383178	Cephalo-group	1	Wood	1	4.35	87	20	0
RDCT183_Apilitermes_longiceps_1	28	26	27	12	14	38	1	17	18	2	22	7	0.082150293	212	0.132075472	0.122641509	0.127358491	0.056603774	0.066037736	0.179245283	0.004716981	0.080188679	0.08490566	0.009433962	0.103773585	0.033018868	Cubitermitinae	1	Soil	1	0.811965811965812	95	117	0
SAF1_Microtermes_sp.A_1	34	39	40	6	14	18	2	19	9	1	4	9	0.055792282	195	0.174358974	0.2	0.205128205	0.030769231	0.071794872	0.092307692	0.01025641	0.097435897	0.046153846	0.005128205	0.020512821	0.046153846	Macrotermitinae	1	Wood	1	1.86764705882353	127	68	0
SAF2_Macrotermes_falciger_SouthAfrica_1	20	14	11	2	16	8	0	6	13	1	2	1	0.028748363	94	0.212765957	0.14893617	0.117021277	0.021276596	0.170212766	0.085106383	0	0.063829787	0.138297872	0.010638298	0.021276596	0.010638298	Macrotermitinae	1	Wood	1	1.84848484848485	61	33	0
SING48_Microcerotermes_sp.B_1	21	35	51	3	17	23	0	10	8	0	9	3	0.050913565	180	0.116666667	0.194444444	0.283333333	0.016666667	0.094444444	0.127777778	0	0.055555556	0.044444444	0	0.05	0.016666667	Microcerotermes	1	Wood	1	2.21428571428571	124	56	0
SING54_Hospitalitermes_hospitalis_1	11	16	23	3	13	10	2	8	2	0	3	4	0.023822994	95	0.115789474	0.168421053	0.242105263	0.031578947	0.136842105	0.105263158	0.021052632	0.084210526	0.021052632	0	0.031578947	0.042105263	Nasutitermitinae	1	Wood	1	1.96875	63	32	0
SING60_Macrotermes_malaccensis_1	29	38	28	7	9	26	1	28	10	2	14	4	0.059119013	196	0.147959184	0.193877551	0.142857143	0.035714286	0.045918367	0.132653061	0.005102041	0.142857143	0.051020408	0.010204082	0.071428571	0.020408163	Macrotermitinae	1	Wood	1	1.1304347826087	104	92	0
SING73_Termes_comis_1	23	54	53	3	18	19	2	5	10	1	7	8	0.052544999	203	0.113300493	0.266009852	0.261083744	0.014778325	0.088669951	0.093596059	0.009852217	0.024630542	0.049261084	0.004926108	0.034482759	0.039408867	Termes-group	1	Soil	1	2.69090909090909	148	55	0
SING77_Havilanditermes_proatripennis_1	48	52	39	15	19	31	0	19	7	1	16	10	0.078949157	257	0.186770428	0.20233463	0.151750973	0.058365759	0.073929961	0.120622568	0	0.073929961	0.027237354	0.003891051	0.062256809	0.038910506	Nasutitermitinae	1	Wood	1	1.5959595959596	158	99	0
SING78_Hirtitermes_hirtiventris_1	37	29	26	21	22	47	1	30	31	4	40	10	0.099394614	298	0.124161074	0.097315436	0.087248322	0.070469799	0.073825503	0.157718121	0.003355705	0.100671141	0.104026846	0.013422819	0.134228188	0.033557047	Nasutitermitinae	1	Wood	1	0.619565217391304	114	184	0
