Species	Taxonomy	Worker	diet.Wood.Soil	Soldier
THAI95_Microcerotermes_crassus_1	Microcerotermes	1	Wood	1
Acroneuria_hainana_1	NA	NA	NA	NA
Creobroter_gemmatus_1	NA	NA	NA	NA
Entoria_okinawaensis_1	NA	NA	NA	NA
Extatosoma_tiaratum_1	NA	NA	NA	NA
Grylloblatta_sculleni_1	NA	NA	NA	NA
Hierodula_formosana_1	NA	NA	NA	NA
Humbertiella_nada_1	NA	NA	NA	NA
Locusta_migratoria_1	NA	NA	NA	NA
Locusta_migratoria_tibetensis_1	NA	NA	NA	NA
Mantis_1	NA	NA	NA	NA
Mantis_Tamolanica_tamolana_1	NA	NA	NA	NA
Mantoida_MN110_1	NA	NA	NA	
Megacrania_alpheus_1	NA	NA	NA	NA
Phobaeticus_serratipes_1	NA	NA	NA	NA
Phraortes_illepidus_1	NA	NA	NA	NA
Ramulus_hainanense_1	NA	NA	NA	NA
Ramulus_irregulariterdentatus_1	NA	NA	NA	NA
Sclerophasma_1	NA	NA	NA	NA
Statilia_sp._1	NA	NA	NA	NA
Tenodera_sinensis_1	NA	NA	NA	NA
Timema_californicum_1	NA	NA	NA	NA
G685_Atlantitermes_oculatissimus_1	Nasutitermitinae	1	Soil	1
T2.19a_Oriensubulitermes_inanis_1	Nasutitermitinae	1	Soil	1
TBRU5.3b_Oriensubulitermes_inanis_1	Nasutitermitinae	1	Soil	1
CA8_Postsubulitermes_parviconstrictus_1	Nasutitermitinae	1	Soil	1
CA20_Leptomyxotermes_doriae_1	Nasutitermitinae	1	Soil	1
FG-ND2-19_Anhangatermes_macarthuri_1	Nasutitermitinae	1	Soil	1
G13-130_Coatitermes_sp.2_1	Nasutitermitinae	1	Soil	1
G679_Caetetermes_taquarussu_1	Nasutitermitinae	1	Soil	1
G712_Subulitermes_sp._1	Nasutitermitinae	1	Soil	1
G728_Agnathotermes_crassinasus_1	Nasutitermitinae	1	Soil	1
G729_Araujotermes_parvellus_1	Nasutitermitinae	1	Soil	1
G736_Atlantitermes_snyderi_1	Nasutitermitinae	1	Soil	1
G740_Coatitermes_kartaboensis_1	Nasutitermitinae	1	Soil	1
SING58_Aciculitermes_aciculatus_1	Nasutitermitinae	1	Soil	1
T1.15a_Leucopitermes_leucops_1	Nasutitermitinae	1	Soil	1
THAI091_Aciculitermes_maymyoensis_1	Nasutitermitinae	1	Soil	1
3.11.1_Nasutitermes_exitiosus_1	Nasutitermitinae	1	Wood	1
BRU6_Nasutitermes_matangensis_1	Nasutitermitinae	1	Wood	1
IND5_Nasutitermes_sp.B_1	Nasutitermitinae	1	Wood	1
Nasutitermes_ISO352_1	Nasutitermitinae	1	Wood	1
Nasutitermes_takasagoensis_Japan_1	Nasutitermitinae	1	Wood	1
PHI5_Nasutitermes_matangensis_1	Nasutitermitinae	1	Wood	1
T2.5f_Nasutitermes_matangensis_1	Nasutitermitinae	1	Wood	1
TBRU3.17a_Nasutitermes_longirostris_1	Nasutitermitinae	1	Wood	1
TBRU3.4a_Nasutitermes_longirostris_1	Nasutitermitinae	1	Wood	1
THAI043_Nasutitermes_sp.3_1	Nasutitermitinae	1	Wood	1
THAI046_Nasutitermes_matangensis_1	Nasutitermitinae	1	Wood	1
AUS24_Nasutitermes_longipennis_1	Nasutitermitinae	1	Wood	1
AUS49_Tumulitermes_sp._1	Nasutitermitinae	1	Wood	1
AUS54_Nasutitermes_triodiae_1	Nasutitermitinae	1	Wood	1
AUS56_Tumulitermes_pastinator_1	Nasutitermitinae	1	Wood	1
AUS57_Tumulitermes_recalvus_1	Nasutitermitinae	1	Wood	1
AUS5_Tumulitermes_sp._1	Nasutitermitinae	1	Wood	1
AUS62_Nasutitermes_graveolus_1	Nasutitermitinae	1	Wood	1
AUS97_Nasutitermes_sp._1	Nasutitermitinae	1	Wood	1
BDIT041_Nasutitermes_arborum_1	Nasutitermitinae	1	Wood	1
BDIT114_Trinevitermes_sp.A_1	Nasutitermitinae	1	Wood	1
BRA1_Constrictotermes_cyphergaster_1	Nasutitermitinae	1	Wood	1
BRU8_Hospitalitermes_hospitalis_1	Nasutitermitinae	1	Wood	1
COL-2012L08_Nasutitermes_sp._1	Nasutitermitinae	1	Wood	1
COL-SAS_Nasutitermes_sp._1	Nasutitermitinae	1	Wood	1
FG-ND2-30_Nasutitermes_sp._1	Nasutitermitinae	1	Wood	1
FG-ND2-32_Nasutitermes_sp.SC_1	Nasutitermitinae	1	Wood	1
G13-117_Nasutitermes_banksi_1	Nasutitermitinae	1	Wood	1
G13-127_Nasutitermes_similis_1	Nasutitermitinae	1	Wood	1
G700_Constrictotermes_cavifrons_1	Nasutitermitinae	1	Wood	1
G718_Nasutitermes_octopilis_1	Nasutitermitinae	1	Wood	1
G733_Nasutitermes_macrocephalus_1	Nasutitermitinae	1	Wood	1
IND2_Trinervitermes_sp._1	Nasutitermitinae	1	Wood	1
MAL27_Hospitalitermes_medioflavus_1	Nasutitermitinae	1	Wood	1
Nasutitermes_nr.perparvus_Thailand_1	Nasutitermitinae	1	Wood	1
NG69_Nasutitermes_bikpelanus_1	Nasutitermitinae	1	Wood	1
NSW6_Occasitermes_occasus_1	Nasutitermitinae	1	Wood	1
PHI3_Hospitalitermes_sp._1	Nasutitermitinae	1	Wood	1
RDCT106_Nasutitermes_lujae_1	Nasutitermitinae	1	Wood	1
RDCT127_Nasutitermes_sp.A_1	Nasutitermitinae	1	Wood	1
RDCT137_Nasutitermes_latifrons_1	Nasutitermitinae	1	Wood	1
RDCT157_Nasutitermes_diabolus_1	Nasutitermitinae	1	Wood	1
SING54_Hospitalitermes_hospitalis_1	Nasutitermitinae	1	Wood	1
SING55_Bulbitermes_singaporensis_1	Nasutitermitinae	1	Wood	1
SING77_Havilanditermes_proatripennis_1	Nasutitermitinae	1	Wood	1
SING78_Hirtitermes_hirtiventris_1	Nasutitermitinae	1	Wood	1
T3.10E_Bulbitermes_sp.B_1	Nasutitermitinae	1	Wood	1
TBRU3.12b_Nasutitermes_neoparvus_1	Nasutitermitinae	1	Wood	1
THAI021_Nasutitermes_sp.2_1	Nasutitermitinae	1	Wood	1
THAI052_Hospitalitermes_sp.D_1	Nasutitermitinae	1	Wood	1
THAI056_Nasutitermes_sp.1_1	Nasutitermitinae	1	Wood	1
THAI067_Hospitalitermes_sp.C_1	Nasutitermitinae	1	Wood	1
THAI093_Bulbitermes_makhamensis_1	Nasutitermitinae	1	Wood	1
THAI100_Bulbitermes_nr.laticephalus_1	Nasutitermitinae	1	Wood	1
G13-028_Planicapritermes_planiceps_1	Neocapri-group	1	Soil	1
G13-067_Crepititermes_verruculosus_1	Neocapri-group	1	Soil	1
G13-080_Neocapritermes_taracua_1	Neocapri-group	1	Soil	1
G681_Neocapritermes_araguaia_1	Neocapri-group	1	Soil	1
G683_Neocapritermes_sp.H_1	Neocapri-group	1	Soil	1
G707_Neocapritermes_angusticeps_1	Neocapri-group	1	Soil	1
JE91_Nocticola_sp._1	Nocticolidae	NA	NA	NA
SING89_Mirocapritermes_connectens_1	Pericapritermes-group	1	Soil	1
T1.6d_Pericapritermes_dolichocephalus_1	Pericapritermes-group	1	Soil	1
TBRU3.23b_Pericapritermes_dolichocephalus_1	Pericapritermes-group	1	Soil	1
CA25_Pericapritermes_nigerianus_1	Pericapritermes-group	1	Soil	1
NG55_Pericapritermes_spB_NewGuinea_1	Pericapritermes-group	1	Soil	1
RDCT014_Pericapritermes_sp.A_1	Pericapritermes-group	1	Soil	1
SING88_Procapritermes_sp.G_1	Pericapritermes-group	1	Soil	1
T1.6c_Procapritermes_sp.A_1	Pericapritermes-group	1	Soil	1
TBRU8.15B_Procapritermes_martyni_1	Pericapritermes-group	1	Soil	1
THAI026_Dicuspiditermes_sp.2_1	Pericapritermes-group	1	Soil	1
THAI028_Pericapritermes_sp.2_1	Pericapritermes-group	1	Soil	1
THAI037_Procapritermes_sp.1_1	Pericapritermes-group	1	Soil	1
THAI061_Pericapritermes_sp.3_1	Pericapritermes-group	1	Soil	1
THAI078_Mirocapritermes_sp.2_1	Pericapritermes-group	1	Soil	1
THAI105_Sinocapritermes_sp.1_1	pericapritermes-group	1	Soil	1
TP1.19B_Pericapritermes_sp.G_1	Pericapritermes-group	1	Soil	1
BDIT073_Promirotermes_sp.A_1	Promiro	1	Soil	1
BDIT026_Promirotermes_pygmaeus_1	Promiro	1	Soil	1
NG91_Prorhinotermes_inopinatus_New_Guinea_1	Prorhinotermitinae	0	Wood	1
Prorhinotermes_canalifrons_1	Prorhinotermitinae	0	Wood	1
Prorhinotermes_simplex_Cuba_1	Prorhinotermitinae	0	Wood	1
Dolichorhinotermes_longilabius_1	Rhinotermitidae	1	Wood	1
SING75_Schedorhinotermes_medioobscurus_Singapore_1	Rhinotermitinae	1	Wood	1
THAI084_Schedorhinosp_Thailand_1	Rhinotermitinae	1	Wood	1
AUS104_Schedorhinotermes_sp4_Australia_1	Rhinotermitinae	1	Wood	1
AUS61_Schedorhinotermes_spB_Australia_1	Rhinotermitinae	1	Wood	1
AUS87_Schedorhinotermes_breinli_Australia_1	Rhinotermitinae	1	Wood	1
ISO314_Schedorhinotermes_breinli_Australia_1	Rhinotermitinae	1	Wood	1
T2.1d_Schedorhinotermes_translucens_Singapore_1	Rhinotermitinae	1	Wood	1
THAI063_Schedorhinotermes_sp3_Thailand_1	Rhinotermitinae	1	Wood	1
AUS11_Schedorhinotermes_spA_Australia_1	Rhinotermitinae	1	Wood	1
G751_Rhinotermes_hispidus_FG_1	Rhinotermitinae	1	Wood	1
MAL29_Parrhinotermes_sp2_Malaysia_1	Rhinotermitinae	1	Wood	1
NG52_Parrhinotermes_browni_1	Rhinotermitinae	1	Wood	1
RDCT003_Schedorhinotermes_putiorus_Congo_1	Rhinotermitinae	1	Wood	1
RDCT112_Schedorhinotermes_lamanianus_Congo_1	Rhinotermitinae	1	Wood	1
T2.13c_Schedorhinotermes_longirostris_Singapore_1	Rhinotermitinae	1	Wood	1
T6.9a_Parrhinotermes_spB_Singapore_1	Rhinotermitinae	1	Wood	1
TBRU1.1b_Parrhinotermes_aequalis_spB_Brunei_1	Rhinotermitinae	1	Wood	1
TBRU1.22c_Parrhinotermes_microdentiformis_spA_Brunei_1	Rhinotermitinae	1	Wood	1
TBRU2.3A_Schedorhinotermes_sarawakensis_Brunei_1	Rhinotermitinae	1	Wood	1
THAI023_Parrhinotermes_spA_Thailand_1	Rhinotermitinae	1	Wood	1
BRA31_Serritermes_serrifer_1	Serritermitidae	0	Wood	1
G702_Glossotermes_oculatus_1	Serritermitidae	0	Wood	1
CA26_Sphaerotermes_sphaerothorax_1	Sphaerotermitinae	1	Wood	1
CA37_Sphaerotermes_sp.A_1	Sphaerotermitinae	1	Wood	1
ISO207_Porotermes_adamsoni_1	Stolotermitidae	0	Wood	1
AUST14-12_Stolotermes_victoriensis_1	Stolotermitidae	0	Wood	1
Chi156_Stylotermes_sp._1	Stylotermitidae	?	Wood	1
CN13_Stylotermes_sp._1	Stylotermitidae	?	Wood	1
CN14_Stylotermes_sp._1	Stylotermitidae	?	Wood	1
Chi131_Stylotermes_sp._1	Stylotermitidae	?	Wood	1
BRA5_Silvestritermes_heyeri_1	Syntermitinae	1	Soil	1
G13-101_Silvestritermes_heyeri_1	Syntermitinae	1	Soil	1
BRA29_Labiotermes_sp._1	Syntermitinae	1	Soil	1
BRA3_Cornitermes_cumulans_1	Syntermitinae	1	Wood	1
BRA8_Labiotermes_sp._1	Syntermitinae	1	Soil	1
Embiratermes_neotenicus_French_Guiana_1	Syntermitinae	1	Soil	1
G13-023_Embiratermes_brevinasus_1	Syntermitinae	1	Soil	1
G686_Cyrilliotermes_angulariceps_1	Syntermitinae	1	Soil	1
G693_Cornitermes_pugnax_1	Syntermitinae	1	Wood	1
G711_Labiotermes_labralis_1	Syntermitinae	1	Soil	1
G715_Syntermes_spinosus_1	Syntermitinae	1	Wood	1
AUS73_Termes-group_sp.F_1	Termes-group	1	Soil	1
BDIT034_Termes_hospes_1	Termes-group	1	Soil	1
COL2012L05_Cavitermes_tuberosus_1	Termes-group	1	Soil	1
G13-036_Termes_fatalis_1	Termes-group	1	Soil	1
G13-055_Termes_fatalis_1	Termes-group	1	Soil	1
G13-105_Termes_fatalis_1	Termes-group	1	Soil	1
ISO360_Macrognathotermes_errator_1	Termes-group	1	Soil	1
THAI036_Termes_rostratus_1	Termes-group	1	Soil	1
THAI096_Termes_rostratus_1	Termes-group	1	Soil	1
AUS18_Ephelotermes_melachoma_1	Termes-group	1	Soil	1
AUS19_Ephelotermes_taylori_1	Termes-group	1	Soil	1
AUS46_Lophotermes_septentrionalis_1	Termes-group	1	Soil	1
BRA13_Spinitermes_sp.A_1	Termes-group	1	Soil	1
BRA2_Inquilinitermes_sp._1	Termes-group	1	Soil	1
G13-084_Termes_sp.A_1	Termes-group	1	Soil	1
G13-140_Spinitermes_trispinosus_1	Termes-group	1	Soil	1
G699_Inquilinitermes_inquilinus_1	Termes-group	1	Soil	1
G769_Dihoplotermes_sp.A_1	Termes-group	1	Soil	1
RDCT125_Tuberculitermes_bycanistes_1	Termes-group	1	Soil	1
SING73_Termes_comis_1	Termes-group	1	Soil	1
Sinocapritermes_mushae_Japan_1	Termes-group	1	Soil	1
NG77_Termitogeton_planus_1	Termitogetoninae	0	Wood	1
B124_Tryonicus_mackerrasae_1	Tryonicidae	NA	NA	NA
Tryonicus_parvus_1	Tryonicidae	NA	NA	NA
